country,nuts_1,cases,deaths,datetime
DE,Thüringen,29,0,2020-03-13T15:00:00
DE,Mecklenburg-Vorpommern,33,0,2020-03-13T15:00:00
DE,Saarland,40,0,2020-03-13T15:00:00
DE,Bremen,42,0,2020-03-13T15:00:00
DE,Sachsen-Anhalt,42,0,2020-03-13T15:00:00
DE,Brandenburg,44,0,2020-03-13T15:00:00
DE,Schleswig-Holstein,48,0,2020-03-13T15:00:00
DE,Sachsen,83,0,2020-03-13T15:00:00
DE,Hamburg,99,0,2020-03-13T15:00:00
DE,Rheinland-Pfalz,102,0,2020-03-13T15:00:00
DE,Hessen,148,0,2020-03-13T15:00:00
DE,Berlin,174,0,2020-03-13T15:00:00
DE,Niedersachsen,230,0,2020-03-13T15:00:00
DE,Baden-Württemberg,454,1,2020-03-13T15:00:00
DE,Bayern,558,1,2020-03-13T15:00:00
DE,Nordrhein-Westfalen,936,3,2020-03-13T15:00:00
