country,nuts_1,cases,deaths,datetime
DE,Thüringen,14,0,2020-03-12T15:00:00
DE,Saarland,14,0,2020-03-12T15:00:00
DE,Mecklenburg-Vorpommern,23,0,2020-03-12T15:00:00
DE,Sachsen-Anhalt,27,0,2020-03-12T15:00:00
DE,Brandenburg,30,0,2020-03-12T15:00:00
DE,Schleswig-Holstein,31,0,2020-03-12T15:00:00
DE,Bremen,38,0,2020-03-12T15:00:00
DE,Sachsen,45,0,2020-03-12T15:00:00
DE,Rheinland-Pfalz,52,0,2020-03-12T15:00:00
DE,Hamburg,88,0,2020-03-12T15:00:00
DE,Hessen,99,0,2020-03-12T15:00:00
DE,Niedersachsen,129,0,2020-03-12T15:00:00
DE,Berlin,137,0,2020-03-12T15:00:00
DE,Baden-Württemberg,454,1,2020-03-12T15:00:00
DE,Bayern,500,1,2020-03-12T15:00:00
DE,Nordrhein-Westfalen,688,3,2020-03-12T15:00:00
