country,nuts_3,cases,datetime
CZ,Středočeský kraj,122,2020-03-22T17:45:00
CZ,Hlavní město Praha,150,2020-03-22T17:45:00
CZ,Liberecký kraj,12,2020-03-23T08:47:00
CZ,Královéhradecký kraj,18,2020-03-23T08:47:00
CZ,Kraj Vysočina,19,2020-03-23T08:47:00
CZ,Plzeňský kraj,21,2020-03-23T08:47:00
CZ,Pardubický kraj,28,2020-03-23T08:47:00
CZ,Jihočeský kraj,30,2020-03-23T08:47:00
CZ,Karlovarský kraj,40,2020-03-23T08:47:00
CZ,Ústecký kraj,40,2020-03-23T08:47:00
CZ,Zlínský kraj,57,2020-03-23T08:47:00
CZ,Jihomoravský kraj,77,2020-03-23T08:47:00
CZ,Moravskoslezský kraj,81,2020-03-23T08:47:00
CZ,Olomoucký kraj,85,2020-03-23T08:47:00
CZ,Středočeský kraj,122,2020-03-23T08:47:00
CZ,Hlavní město Praha,172,2020-03-23T08:47:00
CZ,Liberecký kraj,13,2020-03-23T17:45:00
CZ,Královéhradecký kraj,18,2020-03-23T17:45:00
CZ,Plzeňský kraj,20,2020-03-23T17:45:00
CZ,Kraj Vysočina,23,2020-03-23T17:45:00
CZ,Jihočeský kraj,30,2020-03-23T17:45:00
CZ,Pardubický kraj,31,2020-03-23T17:45:00
CZ,Karlovarský kraj,42,2020-03-23T17:45:00
CZ,Ústecký kraj,43,2020-03-23T17:45:00
CZ,Zlínský kraj,60,2020-03-23T17:45:00
CZ,Jihomoravský kraj,86,2020-03-23T17:45:00
CZ,Olomoucký kraj,98,2020-03-23T17:45:00
CZ,Moravskoslezský kraj,115,2020-03-23T17:45:00
CZ,Středočeský kraj,159,2020-03-23T17:45:00
CZ,Hlavní město Praha,198,2020-03-23T17:45:00
CZ,Liberecký kraj,13,2020-03-24T08:45:00
CZ,Královéhradecký kraj,18,2020-03-24T08:45:00
CZ,Plzeňský kraj,22,2020-03-24T08:45:00
CZ,Kraj Vysočina,23,2020-03-24T08:45:00
CZ,Jihočeský kraj,32,2020-03-24T08:45:00
CZ,Pardubický kraj,33,2020-03-24T08:45:00
CZ,Karlovarský kraj,42,2020-03-24T08:45:00
CZ,Ústecký kraj,46,2020-03-24T08:45:00
CZ,Zlínský kraj,67,2020-03-24T08:45:00
CZ,Jihomoravský kraj,86,2020-03-24T08:45:00
CZ,Olomoucký kraj,100,2020-03-24T08:45:00
CZ,Moravskoslezský kraj,115,2020-03-24T08:45:00
CZ,Středočeský kraj,160,2020-03-24T08:45:00
CZ,Hlavní město Praha,201,2020-03-24T08:45:00
CZ,Liberecký kraj,17,2020-03-24T17:46:00
CZ,Plzeňský kraj,22,2020-03-24T17:46:00
CZ,Královéhradecký kraj,22,2020-03-24T17:46:00
CZ,Kraj Vysočina,24,2020-03-24T17:46:00
CZ,Jihočeský kraj,34,2020-03-24T17:46:00
CZ,Pardubický kraj,40,2020-03-24T17:46:00
CZ,Karlovarský kraj,48,2020-03-24T17:46:00
CZ,Ústecký kraj,50,2020-03-24T17:46:00
CZ,Zlínský kraj,72,2020-03-24T17:46:00
CZ,Jihomoravský kraj,92,2020-03-24T17:46:00
CZ,Olomoucký kraj,118,2020-03-24T17:46:00
CZ,Moravskoslezský kraj,134,2020-03-24T17:46:00
CZ,Středočeský kraj,184,2020-03-24T17:46:00
CZ,Hlavní město Praha,233,2020-03-24T17:46:00
CZ,Liberecký kraj,18,2020-03-25T08:47:00
CZ,Plzeňský kraj,23,2020-03-25T08:47:00
CZ,Kraj Vysočina,26,2020-03-25T08:47:00
CZ,Královéhradecký kraj,30,2020-03-25T08:47:00
CZ,Jihočeský kraj,35,2020-03-25T08:47:00
CZ,Pardubický kraj,41,2020-03-25T08:47:00
CZ,Karlovarský kraj,48,2020-03-25T08:47:00
CZ,Ústecký kraj,51,2020-03-25T08:47:00
CZ,Zlínský kraj,75,2020-03-25T08:47:00
CZ,Jihomoravský kraj,92,2020-03-25T08:47:00
CZ,Olomoucký kraj,118,2020-03-25T08:47:00
CZ,Moravskoslezský kraj,138,2020-03-25T08:47:00
CZ,Středočeský kraj,185,2020-03-25T08:47:00
CZ,Hlavní město Praha,234,2020-03-25T08:47:00
CZ,Liberecký kraj,21,2020-03-25T17:46:00
CZ,Kraj Vysočina,29,2020-03-25T17:46:00
CZ,Plzeňský kraj,31,2020-03-25T17:46:00
CZ,Královéhradecký kraj,31,2020-03-25T17:46:00
CZ,Pardubický kraj,46,2020-03-25T17:46:00
CZ,Jihočeský kraj,47,2020-03-25T17:46:00
CZ,Karlovarský kraj,56,2020-03-25T17:46:00
CZ,Ústecký kraj,58,2020-03-25T17:46:00
CZ,Zlínský kraj,79,2020-03-25T17:46:00
CZ,Jihomoravský kraj,103,2020-03-25T17:46:00
CZ,Olomoucký kraj,134,2020-03-25T17:46:00
CZ,Moravskoslezský kraj,168,2020-03-25T17:46:00
CZ,Středočeský kraj,201,2020-03-25T17:46:00
CZ,Hlavní město Praha,308,2020-03-25T17:46:00
CZ,Liberecký kraj,21,2020-03-26T08:46:00
CZ,Kraj Vysočina,29,2020-03-26T08:46:00
CZ,Plzeňský kraj,31,2020-03-26T08:46:00
CZ,Královéhradecký kraj,32,2020-03-26T08:46:00
CZ,Pardubický kraj,49,2020-03-26T08:46:00
CZ,Jihočeský kraj,55,2020-03-26T08:46:00
CZ,Karlovarský kraj,56,2020-03-26T08:46:00
CZ,Ústecký kraj,65,2020-03-26T08:46:00
CZ,Zlínský kraj,84,2020-03-26T08:46:00
CZ,Jihomoravský kraj,103,2020-03-26T08:46:00
CZ,Olomoucký kraj,137,2020-03-26T08:46:00
CZ,Moravskoslezský kraj,169,2020-03-26T08:46:00
CZ,Středočeský kraj,206,2020-03-26T08:46:00
CZ,Hlavní město Praha,313,2020-03-26T08:46:00
CZ,Plzeňský kraj,32,2020-03-26T17:51:00
CZ,Liberecký kraj,33,2020-03-26T17:51:00
CZ,Královéhradecký kraj,41,2020-03-26T17:51:00
CZ,Kraj Vysočina,41,2020-03-26T17:51:00
CZ,Pardubický kraj,54,2020-03-26T17:51:00
CZ,Jihočeský kraj,58,2020-03-26T17:51:00
CZ,Karlovarský kraj,66,2020-03-26T17:51:00
CZ,Ústecký kraj,67,2020-03-26T17:51:00
CZ,Zlínský kraj,92,2020-03-26T17:51:00
CZ,Jihomoravský kraj,113,2020-03-26T17:51:00
CZ,Olomoucký kraj,158,2020-03-26T17:51:00
CZ,Moravskoslezský kraj,192,2020-03-26T17:51:00
CZ,Středočeský kraj,224,2020-03-26T17:51:00
CZ,Hlavní město Praha,382,2020-03-26T17:51:00
CZ,Plzeňský kraj,32,2020-03-27T08:48:00
CZ,Liberecký kraj,35,2020-03-27T08:48:00
CZ,Kraj Vysočina,42,2020-03-27T08:48:00
CZ,Královéhradecký kraj,46,2020-03-27T08:48:00
CZ,Pardubický kraj,56,2020-03-27T08:48:00
CZ,Jihočeský kraj,63,2020-03-27T08:48:00
CZ,Karlovarský kraj,66,2020-03-27T08:48:00
CZ,Ústecký kraj,70,2020-03-27T08:48:00
CZ,Zlínský kraj,92,2020-03-27T08:48:00
CZ,Jihomoravský kraj,113,2020-03-27T08:48:00
CZ,Olomoucký kraj,171,2020-03-27T08:48:00
CZ,Moravskoslezský kraj,192,2020-03-27T08:48:00
CZ,Středočeský kraj,229,2020-03-27T08:48:00
CZ,Hlavní město Praha,414,2020-03-27T08:48:00
CZ,Liberecký kraj,46,2020-03-27T17:46:00
CZ,Kraj Vysočina,46,2020-03-27T17:46:00
CZ,Královéhradecký kraj,51,2020-03-27T17:46:00
CZ,Plzeňský kraj,56,2020-03-27T17:46:00
CZ,Pardubický kraj,58,2020-03-27T17:46:00
CZ,Jihočeský kraj,68,2020-03-27T17:46:00
CZ,Karlovarský kraj,68,2020-03-27T17:46:00
CZ,Ústecký kraj,84,2020-03-27T17:46:00
CZ,Zlínský kraj,100,2020-03-27T17:46:00
CZ,Jihomoravský kraj,133,2020-03-27T17:46:00
CZ,Olomoucký kraj,191,2020-03-27T17:46:00
CZ,Moravskoslezský kraj,219,2020-03-27T17:46:00
CZ,Středočeský kraj,255,2020-03-27T17:46:00
CZ,Hlavní město Praha,446,2020-03-27T17:46:00
CZ,Kraj Vysočina,46,2020-03-28T08:46:00
CZ,Liberecký kraj,49,2020-03-28T08:46:00
CZ,Královéhradecký kraj,52,2020-03-28T08:46:00
CZ,Plzeňský kraj,56,2020-03-28T08:46:00
CZ,Pardubický kraj,58,2020-03-28T08:46:00
CZ,Karlovarský kraj,68,2020-03-28T08:46:00
CZ,Jihočeský kraj,72,2020-03-28T08:46:00
CZ,Ústecký kraj,84,2020-03-28T08:46:00
CZ,Zlínský kraj,101,2020-03-28T08:46:00
CZ,Jihomoravský kraj,133,2020-03-28T08:46:00
CZ,Olomoucký kraj,197,2020-03-28T08:46:00
CZ,Moravskoslezský kraj,219,2020-03-28T08:46:00
CZ,Středočeský kraj,255,2020-03-28T08:46:00
CZ,Hlavní město Praha,457,2020-03-28T08:46:00
CZ,Liberecký kraj,69,2020-03-28T16:26:00
CZ,Pardubický kraj,72,2020-03-28T16:26:00
CZ,Královéhradecký kraj,79,2020-03-28T16:26:00
CZ,Nezjištěno,83,2020-03-28T16:26:00
CZ,Jihočeský kraj,84,2020-03-28T16:26:00
CZ,Karlovarský kraj,91,2020-03-28T16:26:00
CZ,Kraj Vysočina,100,2020-03-28T16:26:00
CZ,Ústecký kraj,102,2020-03-28T16:26:00
CZ,Zlínský kraj,111,2020-03-28T16:26:00
CZ,Plzeňský kraj,113,2020-03-28T16:26:00
CZ,Jihomoravský kraj,150,2020-03-28T16:26:00
CZ,Olomoucký kraj,242,2020-03-28T16:26:00
CZ,Moravskoslezský kraj,279,2020-03-28T16:26:00
CZ,Středočeský kraj,354,2020-03-28T16:26:00
CZ,Hlavní město Praha,740,2020-03-28T16:26:00
CZ,Liberecký kraj,70,2020-03-29T18:25:00
CZ,Pardubický kraj,74,2020-03-29T18:25:00
CZ,Královéhradecký kraj,80,2020-03-29T18:25:00
CZ,Jihočeský kraj,86,2020-03-29T18:25:00
CZ,Nezjištěno,86,2020-03-29T18:25:00
CZ,Karlovarský kraj,94,2020-03-29T18:25:00
CZ,Kraj Vysočina,101,2020-03-29T18:25:00
CZ,Ústecký kraj,108,2020-03-29T18:25:00
CZ,Plzeňský kraj,114,2020-03-29T18:25:00
CZ,Zlínský kraj,124,2020-03-29T18:25:00
CZ,Jihomoravský kraj,162,2020-03-29T18:25:00
CZ,Olomoucký kraj,245,2020-03-29T18:25:00
CZ,Moravskoslezský kraj,289,2020-03-29T18:25:00
CZ,Středočeský kraj,362,2020-03-29T18:25:00
CZ,Hlavní město Praha,748,2020-03-29T18:25:00
CZ,Liberecký kraj,70,2020-03-29T20:25:00
CZ,Pardubický kraj,75,2020-03-29T20:25:00
CZ,Královéhradecký kraj,80,2020-03-29T20:25:00
CZ,Jihočeský kraj,86,2020-03-29T20:25:00
CZ,Nezjištěno,93,2020-03-29T20:25:00
CZ,Karlovarský kraj,94,2020-03-29T20:25:00
CZ,Kraj Vysočina,101,2020-03-29T20:25:00
CZ,Ústecký kraj,111,2020-03-29T20:25:00
CZ,Plzeňský kraj,118,2020-03-29T20:25:00
CZ,Zlínský kraj,128,2020-03-29T20:25:00
CZ,Jihomoravský kraj,163,2020-03-29T20:25:00
CZ,Olomoucký kraj,255,2020-03-29T20:25:00
CZ,Moravskoslezský kraj,289,2020-03-29T20:25:00
CZ,Středočeský kraj,362,2020-03-29T20:25:00
CZ,Hlavní město Praha,750,2020-03-29T20:25:00
CZ,Liberecký kraj,70,2020-03-29T22:30:00
CZ,Pardubický kraj,75,2020-03-29T22:30:00
CZ,Jihočeský kraj,86,2020-03-29T22:30:00
CZ,Královéhradecký kraj,86,2020-03-29T22:30:00
CZ,Karlovarský kraj,94,2020-03-29T22:30:00
CZ,Nezjištěno,96,2020-03-29T22:30:00
CZ,Kraj Vysočina,102,2020-03-29T22:30:00
CZ,Ústecký kraj,111,2020-03-29T22:30:00
CZ,Plzeňský kraj,118,2020-03-29T22:30:00
CZ,Zlínský kraj,128,2020-03-29T22:30:00
CZ,Jihomoravský kraj,172,2020-03-29T22:30:00
CZ,Olomoucký kraj,262,2020-03-29T22:30:00
