country,lau,cases,datetime
IE,Laois,71.0,2020-04-12T00:00:00
IE,Clare,88.0,2020-04-12T00:00:00
IE,Monaghan,88.0,2020-04-12T00:00:00
IE,Offaly,119.0,2020-04-12T00:00:00
IE,Kilkenny,124.0,2020-04-12T00:00:00
IE,Louth,143.0,2020-04-12T00:00:00
IE,Kerry,170.0,2020-04-12T00:00:00
IE,Tipperary,175.0,2020-04-12T00:00:00
IE,Galway,178.0,2020-04-12T00:00:00
IE,Mayo,183.0,2020-04-12T00:00:00
IE,Donegal,188.0,2020-04-12T00:00:00
IE,Westmeath,192.0,2020-04-12T00:00:00
IE,Cavan,210.0,2020-04-12T00:00:00
IE,Limerick,234.0,2020-04-12T00:00:00
IE,Meath,249.0,2020-04-12T00:00:00
IE,Wicklow,263.0,2020-04-12T00:00:00
IE,Kildare,360.0,2020-04-12T00:00:00
IE,Cork,648.0,2020-04-12T00:00:00
IE,Dublin,4514.0,2020-04-12T00:00:00
IE,Leitrim,32.0,2020-04-13T00:00:00
IE,Carlow,38.0,2020-04-13T00:00:00
IE,Roscommon,39.0,2020-04-13T00:00:00
IE,Sligo,45.0,2020-04-13T00:00:00
IE,Wexford,52.0,2020-04-13T00:00:00
IE,Longford,56.0,2020-04-13T00:00:00
IE,Waterford,73.0,2020-04-13T00:00:00
IE,Laois,88.0,2020-04-13T00:00:00
IE,Monaghan,95.0,2020-04-13T00:00:00
IE,Clare,98.0,2020-04-13T00:00:00
IE,Offaly,133.0,2020-04-13T00:00:00
IE,Kilkenny,136.0,2020-04-13T00:00:00
IE,Mayo,194.0,2020-04-13T00:00:00
IE,Louth,195.0,2020-04-13T00:00:00
IE,Galway,197.0,2020-04-13T00:00:00
IE,Kerry,200.0,2020-04-13T00:00:00
IE,Tipperary,200.0,2020-04-13T00:00:00
IE,Westmeath,213.0,2020-04-13T00:00:00
IE,Cavan,222.0,2020-04-13T00:00:00
IE,Donegal,225.0,2020-04-13T00:00:00
IE,Limerick,252.0,2020-04-13T00:00:00
IE,Wicklow,272.0,2020-04-13T00:00:00
IE,Meath,289.0,2020-04-13T00:00:00
IE,Kildare,404.0,2020-04-13T00:00:00
IE,Cork,730.0,2020-04-13T00:00:00
IE,Dublin,5006.0,2020-04-13T00:00:00
IE,Leitrim,36.0,2020-04-14T00:00:00
IE,Carlow,44.0,2020-04-14T00:00:00
IE,Roscommon,48.0,2020-04-14T00:00:00
IE,Sligo,52.0,2020-04-14T00:00:00
IE,Wexford,56.0,2020-04-14T00:00:00
IE,Longford,58.0,2020-04-14T00:00:00
IE,Waterford,81.0,2020-04-14T00:00:00
IE,Laois,101.0,2020-04-14T00:00:00
IE,Clare,106.0,2020-04-14T00:00:00
IE,Monaghan,123.0,2020-04-14T00:00:00
IE,Kilkenny,144.0,2020-04-14T00:00:00
IE,Offaly,144.0,2020-04-14T00:00:00
IE,Mayo,198.0,2020-04-14T00:00:00
IE,Louth,208.0,2020-04-14T00:00:00
IE,Kerry,219.0,2020-04-14T00:00:00
IE,Tipperary,219.0,2020-04-14T00:00:00
IE,Galway,220.0,2020-04-14T00:00:00
IE,Westmeath,234.0,2020-04-14T00:00:00
IE,Cavan,245.0,2020-04-14T00:00:00
IE,Donegal,264.0,2020-04-14T00:00:00
IE,Limerick,265.0,2020-04-14T00:00:00
IE,Wicklow,317.0,2020-04-14T00:00:00
IE,Meath,342.0,2020-04-14T00:00:00
IE,Kildare,443.0,2020-04-14T00:00:00
IE,Cork,780.0,2020-04-14T00:00:00
IE,Dublin,5438.0,2020-04-14T00:00:00
IE,Carlow,317.0,2020-04-15T00:00:00
IE,Leitrim,364.0,2020-04-15T00:00:00
IE,Roscommon,425.0,2020-04-15T00:00:00
IE,Wexford,547.0,2020-04-15T00:00:00
IE,Longford,564.0,2020-04-15T00:00:00
IE,Sligo,614.0,2020-04-15T00:00:00
IE,Laois,802.0,2020-04-15T00:00:00
IE,Monaghan,990.0,2020-04-15T00:00:00
IE,Waterford,1058.0,2020-04-15T00:00:00
IE,Clare,1292.0,2020-04-15T00:00:00
IE,Offaly,1485.0,2020-04-15T00:00:00
IE,Kilkenny,1579.0,2020-04-15T00:00:00
IE,Louth,1894.0,2020-04-15T00:00:00
IE,Mayo,2072.0,2020-04-15T00:00:00
IE,Cavan,2122.0,2020-04-15T00:00:00
IE,Donegal,2294.0,2020-04-15T00:00:00
IE,Kerry,2324.0,2020-04-15T00:00:00
IE,Tipperary,2527.0,2020-04-15T00:00:00
IE,Westmeath,2567.0,2020-04-15T00:00:00
IE,Galway,2663.0,2020-04-15T00:00:00
IE,Limerick,2929.0,2020-04-15T00:00:00
IE,Meath,3103.0,2020-04-15T00:00:00
IE,Wicklow,3343.0,2020-04-15T00:00:00
IE,Kildare,4173.0,2020-04-15T00:00:00
IE,Cork,8755.0,2020-04-15T00:00:00
IE,Dublin,60260.0,2020-04-15T00:00:00
IE,Carlow,376.0,2020-04-16T00:00:00
IE,Leitrim,407.0,2020-04-16T00:00:00
IE,Roscommon,482.0,2020-04-16T00:00:00
IE,Wexford,618.0,2020-04-16T00:00:00
IE,Longford,641.0,2020-04-16T00:00:00
IE,Sligo,680.0,2020-04-16T00:00:00
IE,Laois,935.0,2020-04-16T00:00:00
IE,Monaghan,1151.0,2020-04-16T00:00:00
IE,Waterford,1159.0,2020-04-16T00:00:00
IE,Clare,1411.0,2020-04-16T00:00:00
IE,Offaly,1648.0,2020-04-16T00:00:00
IE,Kilkenny,1752.0,2020-04-16T00:00:00
IE,Louth,2244.0,2020-04-16T00:00:00
IE,Mayo,2321.0,2020-04-16T00:00:00
IE,Cavan,2432.0,2020-04-16T00:00:00
IE,Kerry,2570.0,2020-04-16T00:00:00
IE,Donegal,2614.0,2020-04-16T00:00:00
IE,Tipperary,2778.0,2020-04-16T00:00:00
IE,Westmeath,2876.0,2020-04-16T00:00:00
IE,Galway,2923.0,2020-04-16T00:00:00
IE,Limerick,3236.0,2020-04-16T00:00:00
IE,Meath,3508.0,2020-04-16T00:00:00
IE,Wicklow,3718.0,2020-04-16T00:00:00
IE,Kildare,4740.0,2020-04-16T00:00:00
IE,Cork,9671.0,2020-04-16T00:00:00
IE,Dublin,66597.0,2020-04-16T00:00:00
IE,Carlow,435.0,2020-04-17T00:00:00
