country,nuts_2,cases,datetime
FR,Corse,126,2020-03-15T15:00:00
FR,Normandie,156,2020-03-15T15:00:00
FR,Nouvelle-Aquitaine,178,2020-03-15T15:00:00
FR,Bretagne,233,2020-03-15T15:00:00
FR,Occitanie,262,2020-03-15T15:00:00
FR,Provence-Alpes-Côte d’Azur,405,2020-03-15T15:00:00
FR,Bourgogne-Franche-Comté,507,2020-03-15T15:00:00
FR,Hauts-de-France,585,2020-03-15T15:00:00
FR,Auvergne-Rhône-Alpes,618,2020-03-15T15:00:00
FR,Grand Est,1543,2020-03-15T15:00:00
FR,Ile-de-France,1762,2020-03-15T15:00:00
FR,Metropolis,6573,2020-03-15T15:00:00
FR,Saint-Barthélémy,3,2020-03-17T15:00:00
FR,Mayotte,3,2020-03-17T15:00:00
FR,Saint-Martin,3,2020-03-17T15:00:00
FR,Guyane,11,2020-03-17T15:00:00
FR,La Réunion,12,2020-03-17T15:00:00
FR,Martinique,19,2020-03-17T15:00:00
FR,Guadeloupe,27,2020-03-17T15:00:00
FR,Oversea,78,2020-03-17T15:00:00
FR,Centre-Val de Loire,103,2020-03-17T15:00:00
FR,Pays de la Loire,126,2020-03-17T15:00:00
FR,Corse,145,2020-03-17T15:00:00
FR,Normandie,174,2020-03-17T15:00:00
FR,Nouvelle-Aquitaine,200,2020-03-17T15:00:00
FR,Bretagne,247,2020-03-17T15:00:00
FR,Occitanie,311,2020-03-17T15:00:00
FR,Provence-Alpes-Côte d’Azur,478,2020-03-17T15:00:00
FR,Bourgogne-Franche-Comté,549,2020-03-17T15:00:00
FR,Hauts-de-France,612,2020-03-17T15:00:00
FR,Auvergne-Rhône-Alpes,710,2020-03-17T15:00:00
FR,Grand Est,1820,2020-03-17T15:00:00
FR,Ile-de-France,2177,2020-03-17T15:00:00
FR,Metropolis,7652,2020-03-17T15:00:00
FR,Saint-Barthélémy,3,2020-03-18T14:00:00
FR,Mayotte,3,2020-03-18T14:00:00
FR,Saint-Martin,4,2020-03-18T14:00:00
FR,Guyane,11,2020-03-18T14:00:00
FR,La Réunion,14,2020-03-18T14:00:00
FR,Martinique,23,2020-03-18T14:00:00
FR,Guadeloupe,33,2020-03-18T14:00:00
FR,Oversea,91,2020-03-18T14:00:00
FR,Pays de la Loire,128,2020-03-18T14:00:00
FR,Centre-Val de Loire,128,2020-03-18T14:00:00
FR,Corse,152,2020-03-18T14:00:00
FR,Normandie,208,2020-03-18T14:00:00
FR,Nouvelle-Aquitaine,237,2020-03-18T14:00:00
FR,Bretagne,273,2020-03-18T14:00:00
FR,Occitanie,371,2020-03-18T14:00:00
FR,Provence-Alpes-Côte d’Azur,574,2020-03-18T14:00:00
FR,Bourgogne-Franche-Comté,593,2020-03-18T14:00:00
FR,Hauts-de-France,665,2020-03-18T14:00:00
FR,Auvergne-Rhône-Alpes,858,2020-03-18T14:00:00
FR,Grand Est,2163,2020-03-18T14:00:00
FR,Ile-de-France,2693,2020-03-18T14:00:00
FR,Metropolis,9043,2020-03-18T14:00:00
FR,Saint-Barthélémy,3,2020-03-19T15:00:00
FR,Saint-Martin,4,2020-03-19T15:00:00
FR,Mayotte,6,2020-03-19T15:00:00
FR,Guyane,15,2020-03-19T15:00:00
FR,La Réunion,19,2020-03-19T15:00:00
FR,Martinique,32,2020-03-19T15:00:00
FR,Guadeloupe,45,2020-03-19T15:00:00
FR,Oversea,124,2020-03-19T15:00:00
FR,Centre-Val de Loire,157,2020-03-19T15:00:00
FR,Pays de la Loire,160,2020-03-19T15:00:00
