country,lau,cases,population,datetime
PT,VILA VELHA DE RÓDÃO,0,3144,2021-07-20T00:00:00
PT,AGUIAR DA BEIRA,0,4652,2021-07-20T00:00:00
PT,BOTICAS,0,4998,2021-07-20T00:00:00
PT,CALHETA [R.A. AÇORES],0,3184,2021-07-20T00:00:00
PT,CASTANHEIRA DE PÊRA,0,2614,2021-07-20T00:00:00
PT,CORVO,0,464,2021-07-20T00:00:00
PT,FIGUEIRÓ DOS VINHOS,0,5568,2021-07-20T00:00:00
PT,LAJES DO PICO,0,4490,2021-07-20T00:00:00
PT,VILA NOVA DE POIARES,0,6939,2021-07-20T00:00:00
PT,MONFORTE,0,2975,2021-07-20T00:00:00
PT,TORRE DE MONCORVO,0,7695,2021-07-20T00:00:00
PT,TABUAÇO,0,6033,2021-07-20T00:00:00
PT,MELGAÇO,0,8093,2021-07-20T00:00:00
PT,SANTA CRUZ DAS FLORES,0,2165,2021-07-20T00:00:00
PT,SÃO ROQUE DO PICO,0,3266,2021-07-20T00:00:00
PT,POVOAÇÃO,0,5927,2021-07-20T00:00:00
PT,MIRANDA DO CORVO,8,12708,2021-07-20T00:00:00
PT,PENAMACOR,21,4755,2021-07-20T00:00:00
PT,NORDESTE,21,4862,2021-07-20T00:00:00
PT,MACEDO DE CAVALEIROS,21,14516,2021-07-20T00:00:00
PT,ALFÂNDEGA DA FÉ,22,4550,2021-07-20T00:00:00
PT,PINHEL,24,8511,2021-07-20T00:00:00
PT,VIMIOSO,25,4023,2021-07-20T00:00:00
PT,IDANHA-A-NOVA,25,8043,2021-07-20T00:00:00
PT,SARDOAL,27,3741,2021-07-20T00:00:00
PT,GÓIS,27,3805,2021-07-20T00:00:00
PT,ARGANIL,27,11014,2021-07-20T00:00:00
PT,CAMINHA,32,15877,2021-07-20T00:00:00
PT,ANGRA DO HEROÍSMO,36,33807,2021-07-20T00:00:00
PT,ARRONCHES,36,2820,2021-07-20T00:00:00
PT,PONTE DA BARCA,36,11180,2021-07-20T00:00:00
PT,FIGUEIRA DE CASTELO RODRIGO,36,5584,2021-07-20T00:00:00
PT,VILA DO PORTO,36,5616,2021-07-20T00:00:00
PT,PENACOVA,37,13694,2021-07-20T00:00:00
PT,SABUGAL,38,10585,2021-07-20T00:00:00
PT,FUNDÃO,38,26495,2021-07-20T00:00:00
PT,VELAS,39,5093,2021-07-20T00:00:00
PT,SÃO PEDRO DO SUL,39,15403,2021-07-20T00:00:00
PT,OLEIROS,40,5003,2021-07-20T00:00:00
PT,MACHICO,40,19981,2021-07-20T00:00:00
PT,ALANDROAL,41,4992,2021-07-20T00:00:00
PT,PENALVA DO CASTELO,42,7115,2021-07-20T00:00:00
PT,VILA DA PRAIA DA VITÓRIA,42,21317,2021-07-20T00:00:00
PT,SOUSEL,46,4412,2021-07-20T00:00:00
PT,PONTA DO SOL,47,8593,2021-07-20T00:00:00
PT,COVILHÃ,49,46787,2021-07-20T00:00:00
PT,FERREIRA DO ZÊZERE,50,7959,2021-07-20T00:00:00
PT,MADALENA,51,5895,2021-07-20T00:00:00
PT,CÂMARA DE LOBOS,51,33675,2021-07-20T00:00:00
PT,ARMAMAR,52,5769,2021-07-20T00:00:00
PT,ALCÁCER DO SAL,52,11659,2021-07-20T00:00:00
PT,VALENÇA,53,13290,2021-07-20T00:00:00
PT,CARRAZEDA DE ANSIÃES,53,5666,2021-07-20T00:00:00
PT,SERNANCELHE,56,5396,2021-07-20T00:00:00
PT,SANTA COMBA DÃO,57,10452,2021-07-20T00:00:00
PT,MORTÁGUA,57,8803,2021-07-20T00:00:00
PT,LAMEGO,57,24895,2021-07-20T00:00:00
PT,SÁTÃO,60,11580,2021-07-20T00:00:00
PT,VOUZELA,62,9619,2021-07-20T00:00:00
PT,BARRANCOS,62,1634,2021-07-20T00:00:00
PT,BELMONTE,63,6398,2021-07-20T00:00:00
PT,SEIA,63,22234,2021-07-20T00:00:00
PT,TERRAS DE BOURO,63,6361,2021-07-20T00:00:00
PT,CASTELO BRANCO,63,51987,2021-07-20T00:00:00
PT,REDONDO,64,6353,2021-07-20T00:00:00
PT,FERREIRA DO ALENTEJO,64,7845,2021-07-20T00:00:00
PT,CRATO,65,3129,2021-07-20T00:00:00
PT,FORNOS DE ALGODRES,66,4528,2021-07-20T00:00:00
PT,ANSIÃO,66,12039,2021-07-20T00:00:00
PT,ABRANTES,66,35130,2021-07-20T00:00:00
PT,NISA,67,6061,2021-07-20T00:00:00
PT,SABROSA,68,5918,2021-07-20T00:00:00
PT,MARVÃO,68,3005,2021-07-20T00:00:00
PT,LAJES DAS FLORES,68,1463,2021-07-20T00:00:00
PT,FRONTEIRA,68,2974,2021-07-20T00:00:00
PT,HORTA,69,14521,2021-07-20T00:00:00
PT,TÁBUA,70,11368,2021-07-20T00:00:00
PT,MOIMENTA DA BEIRA,72,9736,2021-07-20T00:00:00
PT,ARCOS DE VALDEVEZ,72,20926,2021-07-20T00:00:00
PT,MONÇÃO,73,17869,2021-07-20T00:00:00
PT,BORBA,75,6736,2021-07-20T00:00:00
PT,CAMPO MAIOR,77,7874,2021-07-20T00:00:00
PT,POMBAL,77,51461,2021-07-20T00:00:00
PT,SANTA CRUZ,77,45281,2021-07-20T00:00:00
PT,ENTRONCAMENTO,78,21558,2021-07-20T00:00:00
PT,SÃO VICENTE,78,5143,2021-07-20T00:00:00
PT,PENEDONO,78,2591,2021-07-20T00:00:00
PT,VILA NOVA DA BARQUINHA,79,7461,2021-07-20T00:00:00
PT,VALE DE CAMBRA,80,21327,2021-07-20T00:00:00
PT,LOUSÃ,81,17158,2021-07-20T00:00:00
PT,ALVITO,81,2477,2021-07-20T00:00:00
PT,VILA FLOR,83,6044,2021-07-20T00:00:00
PT,MÉRTOLA,83,6142,2021-07-20T00:00:00
PT,OLIVEIRA DE AZEMÉIS,84,66011,2021-07-20T00:00:00
PT,PONTE DE LIMA,88,41315,2021-07-20T00:00:00
PT,SEVER DO VOUGA,89,11331,2021-07-20T00:00:00
PT,ALMEIRIM,89,22546,2021-07-20T00:00:00
PT,VILA DE REI,90,3323,2021-07-20T00:00:00
PT,SANTANA,90,6711,2021-07-20T00:00:00
PT,TOMAR,92,36748,2021-07-20T00:00:00
PT,NELAS,92,12974,2021-07-20T00:00:00
PT,ALCANENA,93,12809,2021-07-20T00:00:00
PT,VILA NOVA DE FOZ CÔA,93,6503,2021-07-20T00:00:00
PT,ESTREMOZ,95,12728,2021-07-20T00:00:00
PT,ALTER DO CHÃO,96,3165,2021-07-20T00:00:00
PT,PROENÇA-A-NOVA,97,7298,2021-07-20T00:00:00
PT,MORA,99,4138,2021-07-20T00:00:00
PT,ESPOSENDE,100,34177,2021-07-20T00:00:00
PT,MONDIM DE BASTO,102,6946,2021-07-20T00:00:00
PT,TORRES NOVAS,103,34933,2021-07-20T00:00:00
PT,GRÂNDOLA,103,14639,2021-07-20T00:00:00
PT,CASTELO DE VIDE,104,2919,2021-07-20T00:00:00
PT,CORUCHE,105,17471,2021-07-20T00:00:00
