country,lau,cases,population,datetime
PT,SANTA CRUZ DAS FLORES,0,2165,2021-12-27T00:00:00
PT,FREIXO DE ESPADA À CINTA,0,3298,2021-12-27T00:00:00
PT,VELAS,20,5093,2021-12-27T00:00:00
PT,SANTA CRUZ DA GRACIOSA,24,4208,2021-12-27T00:00:00
PT,CALHETA [R.A. AÇORES],32,3184,2021-12-27T00:00:00
PT,MARVÃO,34,3005,2021-12-27T00:00:00
PT,ARRONCHES,36,2820,2021-12-27T00:00:00
PT,ALVITO,41,2477,2021-12-27T00:00:00
PT,NORDESTE,42,4862,2021-12-27T00:00:00
PT,LAJES DO PICO,45,4490,2021-12-27T00:00:00
PT,VILA DA PRAIA DA VITÓRIA,47,21317,2021-12-27T00:00:00
PT,SÃO ROQUE DO PICO,61,3266,2021-12-27T00:00:00
PT,MONFORTE,68,2975,2021-12-27T00:00:00
PT,HORTA,69,14521,2021-12-27T00:00:00
PT,CASTELO DE VIDE,69,2919,2021-12-27T00:00:00
PT,VILA FRANCA DO CAMPO,73,11051,2021-12-27T00:00:00
PT,TORRE DE MONCORVO,79,7695,2021-12-27T00:00:00
PT,MOGADOURO,84,8392,2021-12-27T00:00:00
PT,SANTA MARTA DE PENAGUIÃO,92,6599,2021-12-27T00:00:00
PT,ALTER DO CHÃO,96,3165,2021-12-27T00:00:00
PT,MORA,99,4138,2021-12-27T00:00:00
PT,OLEIROS,100,5003,2021-12-27T00:00:00
PT,TABUAÇO,100,6033,2021-12-27T00:00:00
PT,ALANDROAL,102,4992,2021-12-27T00:00:00
PT,MESÃO FRIO,102,3964,2021-12-27T00:00:00
PT,MADALENA,102,5895,2021-12-27T00:00:00
PT,MONTEMOR-O-NOVO,104,15647,2021-12-27T00:00:00
PT,VILA VIÇOSA,106,7656,2021-12-27T00:00:00
PT,VILA DO PORTO,107,5616,2021-12-27T00:00:00
PT,VENDAS NOVAS,116,11255,2021-12-27T00:00:00
PT,MOURÃO,123,2450,2021-12-27T00:00:00
PT,SEVER DO VOUGA,124,11331,2021-12-27T00:00:00
PT,PAÇOS DE FERREIRA,124,56728,2021-12-27T00:00:00
PT,TRANCOSO,124,8875,2021-12-27T00:00:00
PT,VILA NOVA DE FOZ CÔA,125,6503,2021-12-27T00:00:00
PT,RIBEIRA GRANDE,128,32811,2021-12-27T00:00:00
PT,FERREIRA DO ALENTEJO,128,7845,2021-12-27T00:00:00
PT,RIBEIRA DE PENA,134,6016,2021-12-27T00:00:00
PT,LAJES DAS FLORES,137,1463,2021-12-27T00:00:00
PT,VIANA DO ALENTEJO,137,5145,2021-12-27T00:00:00
PT,REGUENGOS DE MONSARAZ,141,10015,2021-12-27T00:00:00
PT,BOTICAS,142,4998,2021-12-27T00:00:00
PT,ALCOUTIM,144,2159,2021-12-27T00:00:00
PT,CALHETA [R.A. MADEIRA],148,10867,2021-12-27T00:00:00
PT,SERNANCELHE,149,5396,2021-12-27T00:00:00
PT,CUBA,154,4595,2021-12-27T00:00:00
PT,CASTANHEIRA DE PÊRA,155,2614,2021-12-27T00:00:00
PT,ANGRA DO HEROÍSMO,155,33807,2021-12-27T00:00:00
PT,GRÂNDOLA,157,14639,2021-12-27T00:00:00
PT,MACEDO DE CAVALEIROS,160,14516,2021-12-27T00:00:00
PT,FIGUEIRA DE CASTELO RODRIGO,161,5584,2021-12-27T00:00:00
PT,MELGAÇO,163,8093,2021-12-27T00:00:00
PT,VIDIGUEIRA,164,5510,2021-12-27T00:00:00
PT,MÉRTOLA,165,6142,2021-12-27T00:00:00
PT,BORBA,165,6736,2021-12-27T00:00:00
PT,PORTALEGRE,169,22172,2021-12-27T00:00:00
PT,CAMINHA,171,15877,2021-12-27T00:00:00
PT,SABROSA,187,5918,2021-12-27T00:00:00
PT,PORTEL,190,5828,2021-12-27T00:00:00
PT,ARGANIL,191,11014,2021-12-27T00:00:00
PT,CRATO,196,3129,2021-12-27T00:00:00
PT,VILA NOVA DE POIARES,201,6939,2021-12-27T00:00:00
PT,PAREDES DE COURA,201,8535,2021-12-27T00:00:00
PT,ODEMIRA,207,24717,2021-12-27T00:00:00
PT,VIZELA,209,23897,2021-12-27T00:00:00
PT,VILA DE REI,210,3323,2021-12-27T00:00:00
PT,GÓIS,212,3805,2021-12-27T00:00:00
PT,MOURA,213,13718,2021-12-27T00:00:00
PT,ESTREMOZ,214,12728,2021-12-27T00:00:00
PT,PORTO MONIZ,216,2342,2021-12-27T00:00:00
PT,VILA FLOR,216,6044,2021-12-27T00:00:00
PT,VILA POUCA DE AGUIAR,219,11961,2021-12-27T00:00:00
PT,LAMEGO,222,24895,2021-12-27T00:00:00
PT,REDONDO,223,6353,2021-12-27T00:00:00
PT,VIEIRA DO MINHO,229,11842,2021-12-27T00:00:00
PT,PESO DA RÉGUA,229,15773,2021-12-27T00:00:00
PT,VALPAÇOS,232,14818,2021-12-27T00:00:00
PT,SINES,233,13715,2021-12-27T00:00:00
PT,ARRUDA DOS VINHOS,235,15412,2021-12-27T00:00:00
PT,SÃO VICENTE,235,5143,2021-12-27T00:00:00
PT,VILA NOVA DE CERVEIRA,236,8910,2021-12-27T00:00:00
PT,MIRANDA DO DOURO,237,6830,2021-12-27T00:00:00
PT,MURÇA,241,5463,2021-12-27T00:00:00
PT,CORUCHE,244,17471,2021-12-27T00:00:00
PT,PONTA DO SOL,245,8593,2021-12-27T00:00:00
PT,ARMAMAR,245,5769,2021-12-27T00:00:00
PT,PONTA DELGADA,246,67935,2021-12-27T00:00:00
PT,CASTRO VERDE,247,6949,2021-12-27T00:00:00
PT,LOUSADA,253,46755,2021-12-27T00:00:00
PT,SANTANA,256,6711,2021-12-27T00:00:00
PT,RIO MAIOR,256,20379,2021-12-27T00:00:00
PT,SANTIAGO DO CACÉM,265,28791,2021-12-27T00:00:00
PT,SÃO PEDRO DO SUL,266,15403,2021-12-27T00:00:00
PT,SANTA COMBA DÃO,268,10452,2021-12-27T00:00:00
PT,TAROUCA,269,7804,2021-12-27T00:00:00
PT,GAVIÃO,283,3263,2021-12-27T00:00:00
PT,SANTO TIRSO,284,68055,2021-12-27T00:00:00
PT,AVIS,286,4247,2021-12-27T00:00:00
PT,FIGUEIRÓ DOS VINHOS,288,5568,2021-12-27T00:00:00
PT,CADAVAL,299,13673,2021-12-27T00:00:00
PT,TROFA,302,38418,2021-12-27T00:00:00
PT,ALVAIÁZERE,303,6597,2021-12-27T00:00:00
PT,MONTALEGRE,304,8997,2021-12-27T00:00:00
PT,ALIJÓ,304,10625,2021-12-27T00:00:00
PT,VILA NOVA DA BARQUINHA,305,7461,2021-12-27T00:00:00
PT,CINFÃES,306,18244,2021-12-27T00:00:00
PT,PÓVOA DE VARZIM,309,62784,2021-12-27T00:00:00
PT,SESIMBRA,312,51858,2021-12-27T00:00:00
PT,SALVATERRA DE MAGOS,312,21295,2021-12-27T00:00:00
