country,lau,cases,population,datetime
PT,VILA VELHA DE RÓDÃO,0,3144,2021-06-19T00:00:00
PT,MELGAÇO,0,8093,2021-06-19T00:00:00
PT,LAJES DO PICO,0,4490,2021-06-19T00:00:00
PT,GOUVEIA,0,12387,2021-06-19T00:00:00
PT,GOLEGÃ,0,5339,2021-06-19T00:00:00
PT,GÓIS,0,3805,2021-06-19T00:00:00
PT,GAVIÃO,0,3263,2021-06-19T00:00:00
PT,FREIXO DE ESPADA À CINTA,0,3298,2021-06-19T00:00:00
PT,FORNOS DE ALGODRES,0,4528,2021-06-19T00:00:00
PT,FERREIRA DO ZÊZERE,0,7959,2021-06-19T00:00:00
PT,CRATO,0,3129,2021-06-19T00:00:00
PT,CORVO,0,464,2021-06-19T00:00:00
PT,CELORICO DA BEIRA,0,6928,2021-06-19T00:00:00
PT,CASTRO VERDE,0,6949,2021-06-19T00:00:00
PT,CASTELO DE VIDE,0,2919,2021-06-19T00:00:00
PT,CARRAZEDA DE ANSIÃES,0,5666,2021-06-19T00:00:00
PT,CAMINHA,0,15877,2021-06-19T00:00:00
PT,CALHETA [R.A. AÇORES],0,3184,2021-06-19T00:00:00
PT,BOTICAS,0,4998,2021-06-19T00:00:00
PT,BELMONTE,0,6398,2021-06-19T00:00:00
PT,BARRANCOS,0,1634,2021-06-19T00:00:00
PT,ARMAMAR,0,5769,2021-06-19T00:00:00
PT,ALTER DO CHÃO,0,3165,2021-06-19T00:00:00
PT,ALMODÔVAR,0,6725,2021-06-19T00:00:00
PT,ALFÂNDEGA DA FÉ,0,4550,2021-06-19T00:00:00
PT,ALCOUTIM,0,2159,2021-06-19T00:00:00
PT,MÉRTOLA,0,6142,2021-06-19T00:00:00
PT,MESÃO FRIO,0,3964,2021-06-19T00:00:00
PT,VILA NOVA DE POIARES,0,6939,2021-06-19T00:00:00
PT,MONCHIQUE,0,5077,2021-06-19T00:00:00
PT,VILA NOVA DE PAIVA,0,4687,2021-06-19T00:00:00
PT,VILA DO PORTO,0,5616,2021-06-19T00:00:00
PT,VILA DO BISPO,0,5154,2021-06-19T00:00:00
PT,VIDIGUEIRA,0,5510,2021-06-19T00:00:00
PT,VIANA DO ALENTEJO,0,5145,2021-06-19T00:00:00
PT,VELAS,0,5093,2021-06-19T00:00:00
PT,TORRE DE MONCORVO,0,7695,2021-06-19T00:00:00
PT,TERRAS DE BOURO,0,6361,2021-06-19T00:00:00
PT,TAROUCA,0,7804,2021-06-19T00:00:00
PT,SÁTÃO,0,11580,2021-06-19T00:00:00
PT,SÃO ROQUE DO PICO,0,3266,2021-06-19T00:00:00
PT,SANTA CRUZ DAS FLORES,0,2165,2021-06-19T00:00:00
PT,VILA DE REI,0,3323,2021-06-19T00:00:00
PT,SABUGAL,0,10585,2021-06-19T00:00:00
PT,SANTA COMBA DÃO,0,10452,2021-06-19T00:00:00
PT,MORTÁGUA,0,8803,2021-06-19T00:00:00
PT,MOURÃO,0,2450,2021-06-19T00:00:00
PT,MURÇA,0,5463,2021-06-19T00:00:00
PT,MURTOSA,0,10279,2021-06-19T00:00:00
PT,MOGADOURO,0,8392,2021-06-19T00:00:00
PT,PENAMACOR,0,4755,2021-06-19T00:00:00
PT,OURIQUE,0,4607,2021-06-19T00:00:00
PT,PENEDONO,0,2591,2021-06-19T00:00:00
PT,PORTO SANTO,0,5202,2021-06-19T00:00:00
PT,REDONDO,0,6353,2021-06-19T00:00:00
PT,RIBEIRA BRAVA,0,12435,2021-06-19T00:00:00
PT,ESTARREJA,4,26006,2021-06-19T00:00:00
PT,MEALHADA,5,19914,2021-06-19T00:00:00
PT,BRAGANÇA,6,33607,2021-06-19T00:00:00
PT,SÃO PEDRO DO SUL,6,15403,2021-06-19T00:00:00
PT,SANTIAGO DO CACÉM,7,28791,2021-06-19T00:00:00
PT,HORTA,7,14521,2021-06-19T00:00:00
PT,VILA POUCA DE AGUIAR,8,11961,2021-06-19T00:00:00
PT,VALENÇA,8,13290,2021-06-19T00:00:00
PT,VILA DA PRAIA DA VITÓRIA,9,21317,2021-06-19T00:00:00
PT,MIRANDELA,9,21754,2021-06-19T00:00:00
PT,CALHETA [R.A. MADEIRA],9,10867,2021-06-19T00:00:00
PT,BEJA,9,33579,2021-06-19T00:00:00
PT,ALIJÓ,9,10625,2021-06-19T00:00:00
PT,OLIVEIRA DO HOSPITAL,10,19253,2021-06-19T00:00:00
