country,lau,cases,population,datetime
PT,VILA VELHA DE RÓDÃO,0,3144,2021-03-06T00:00:00
PT,ANGRA DO HEROÍSMO,0,33807,2021-03-06T00:00:00
PT,CORVO,0,464,2021-03-06T00:00:00
PT,LAJES DAS FLORES,0,1463,2021-03-06T00:00:00
PT,NORDESTE,0,4862,2021-03-06T00:00:00
PT,VILA FRANCA DO CAMPO,0,11051,2021-03-06T00:00:00
PT,POVOAÇÃO,0,5927,2021-03-06T00:00:00
PT,VELAS,0,5093,2021-03-06T00:00:00
PT,PORTO SANTO,0,5202,2021-03-06T00:00:00
PT,SANTA CRUZ DA GRACIOSA,0,4208,2021-03-06T00:00:00
PT,SANTA CRUZ DAS FLORES,0,2165,2021-03-06T00:00:00
PT,LAGOA [R.A. AÇORES],7,14721,2021-03-06T00:00:00
PT,TORRE DE MONCORVO,13,7695,2021-03-06T00:00:00
PT,CELORICO DA BEIRA,14,6928,2021-03-06T00:00:00
PT,PONTA DELGADA,16,67935,2021-03-06T00:00:00
PT,ALJEZUR,18,5594,2021-03-06T00:00:00
PT,VILA DA PRAIA DA VITÓRIA,19,21317,2021-03-06T00:00:00
PT,HORTA,21,14521,2021-03-06T00:00:00
PT,LAJES DO PICO,22,4490,2021-03-06T00:00:00
PT,FORNOS DE ALGODRES,22,4528,2021-03-06T00:00:00
PT,ALFÂNDEGA DA FÉ,22,4550,2021-03-06T00:00:00
PT,MESÃO FRIO,25,3964,2021-03-06T00:00:00
PT,CALHETA [R.A. AÇORES],31,3184,2021-03-06T00:00:00
PT,ALTER DO CHÃO,32,3165,2021-03-06T00:00:00
PT,VILA DO PORTO,36,5616,2021-03-06T00:00:00
PT,MOURÃO,41,2450,2021-03-06T00:00:00
PT,MIRANDA DO DOURO,44,6830,2021-03-06T00:00:00
PT,ALCOUTIM,46,2159,2021-03-06T00:00:00
PT,MORA,48,4138,2021-03-06T00:00:00
PT,IDANHA-A-NOVA,50,8043,2021-03-06T00:00:00
PT,PORTEL,51,5828,2021-03-06T00:00:00
PT,FIGUEIRÓ DOS VINHOS,54,5568,2021-03-06T00:00:00
PT,FIGUEIRA DE CASTELO RODRIGO,54,5584,2021-03-06T00:00:00
PT,MONTALEGRE,56,8997,2021-03-06T00:00:00
PT,MORTÁGUA,57,8803,2021-03-06T00:00:00
PT,VILA DO BISPO,58,5154,2021-03-06T00:00:00
PT,ALMODÔVAR,59,6725,2021-03-06T00:00:00
PT,PONTE DE SOR,60,14994,2021-03-06T00:00:00
PT,MOGADOURO,60,8392,2021-03-06T00:00:00
PT,SÃO ROQUE DO PICO,61,3266,2021-03-06T00:00:00
PT,VIZELA,63,23897,2021-03-06T00:00:00
PT,VILA NOVA DE PAIVA,64,4687,2021-03-06T00:00:00
PT,VINHAIS,65,7746,2021-03-06T00:00:00
PT,AVIS,71,4247,2021-03-06T00:00:00
PT,VIDIGUEIRA,73,5510,2021-03-06T00:00:00
PT,ABRANTES,77,35130,2021-03-06T00:00:00
PT,PENEDONO,77,2591,2021-03-06T00:00:00
PT,SÃO VICENTE,78,5143,2021-03-06T00:00:00
PT,MAÇÃO,80,6267,2021-03-06T00:00:00
PT,VALPAÇOS,81,14818,2021-03-06T00:00:00
