country,nuts_3,cases,cases_lower,cases_upper,datetime
UK,Barking and Dagenham,0,0,0,2020-03-05T09:00:00
UK,Newham,0,0,0,2020-03-05T09:00:00
UK,Stockport,0,0,0,2020-03-05T09:00:00
UK,Milton Keynes,0,0,0,2020-03-05T09:00:00
UK,Middlesbrough,0,0,0,2020-03-05T09:00:00
UK,Stockton-on-Tees,0,0,0,2020-03-05T09:00:00
UK,Medway,0,0,0,2020-03-05T09:00:00
UK,Stoke-on-Trent,0,0,0,2020-03-05T09:00:00
UK,Luton,0,0,0,2020-03-05T09:00:00
UK,Liverpool,0,0,0,2020-03-05T09:00:00
UK,Suffolk,0,0,0,2020-03-05T09:00:00
UK,Sunderland,0,0,0,2020-03-05T09:00:00
UK,Norfolk,0,0,0,2020-03-05T09:00:00
UK,Leicestershire,0,0,0,2020-03-05T09:00:00
UK,Sutton,0,0,0,2020-03-05T09:00:00
UK,Lambeth,0,0,0,2020-03-05T09:00:00
UK,Knowsley,0,0,0,2020-03-05T09:00:00
UK,Kirklees,0,0,0,2020-03-05T09:00:00
UK,Swindon,0,0,0,2020-03-05T09:00:00
UK,Tameside,0,0,0,2020-03-05T09:00:00
UK,Telford and Wrekin,0,0,0,2020-03-05T09:00:00
UK,Thurrock,0,0,0,2020-03-05T09:00:00
UK,Islington,0,0,0,2020-03-05T09:00:00
UK,Isles of Scilly,0,0,0,2020-03-05T09:00:00
UK,Isle of Wight,0,0,0,2020-03-05T09:00:00
UK,Leicester,0,0,0,2020-03-05T09:00:00
UK,South Tyneside,0,0,0,2020-03-05T09:00:00
UK,North East Lincolnshire,0,0,0,2020-03-05T09:00:00
UK,North Somerset,0,0,0,2020-03-05T09:00:00
UK,Solihull,0,0,0,2020-03-05T09:00:00
UK,Slough,0,0,0,2020-03-05T09:00:00
UK,Shropshire,0,0,0,2020-03-05T09:00:00
UK,Sheffield,0,0,0,2020-03-05T09:00:00
UK,Sefton,0,0,0,2020-03-05T09:00:00
UK,Sandwell,0,0,0,2020-03-05T09:00:00
UK,Salford,0,0,0,2020-03-05T09:00:00
UK,Rutland,0,0,0,2020-03-05T09:00:00
UK,Rotherham,0,0,0,2020-03-05T09:00:00
UK,Rochdale,0,0,0,2020-03-05T09:00:00
UK,Richmond upon Thames,0,0,0,2020-03-05T09:00:00
UK,North Lincolnshire,0,0,0,2020-03-05T09:00:00
UK,Redcar and Cleveland,0,0,0,2020-03-05T09:00:00
UK,Reading,0,0,0,2020-03-05T09:00:00
UK,Portsmouth,0,0,0,2020-03-05T09:00:00
UK,Poole,0,0,0,2020-03-05T09:00:00
UK,Plymouth,0,0,0,2020-03-05T09:00:00
UK,Southampton,0,0,0,2020-03-05T09:00:00
UK,Southend-on-Sea,0,0,0,2020-03-05T09:00:00
UK,Nottinghamshire,0,0,0,2020-03-05T09:00:00
UK,St. Helens,0,0,0,2020-03-05T09:00:00
UK,Northumberland,0,0,0,2020-03-05T09:00:00
UK,North Yorkshire,0,0,0,2020-03-05T09:00:00
UK,North Tyneside,0,0,0,2020-03-05T09:00:00
UK,Redbridge,0,0,0,2020-03-05T09:00:00
UK,Hillingdon,0,0,0,2020-03-05T09:00:00
UK,South Gloucestershire,0,0,0,2020-03-05T09:00:00
UK,"Herefordshire, County of",0,0,0,2020-03-05T09:00:00
UK,County Durham,0,0,0,2020-03-05T09:00:00
UK,Tower Hamlets,0,0,0,2020-03-05T09:00:00
UK,City of London,0,0,0,2020-03-05T09:00:00
UK,Cheshire West and Chester,0,0,0,2020-03-05T09:00:00
UK,Cheshire East,0,0,0,2020-03-05T09:00:00
UK,Central Bedfordshire,0,0,0,2020-03-05T09:00:00
UK,Cambridgeshire,0,0,0,2020-03-05T09:00:00
UK,Calderdale,0,0,0,2020-03-05T09:00:00
UK,Westminster,0,0,0,2020-03-05T09:00:00
UK,Buckinghamshire,0,0,0,2020-03-05T09:00:00
UK,Coventry,0,0,0,2020-03-05T09:00:00
UK,"Bristol, City of",0,0,0,2020-03-05T09:00:00
UK,Windsor and Maidenhead,0,0,0,2020-03-05T09:00:00
UK,Bracknell Forest,0,0,0,2020-03-05T09:00:00
UK,Bournemouth,0,0,0,2020-03-05T09:00:00
UK,Blackpool,0,0,0,2020-03-05T09:00:00
UK,Blackburn with Darwen,0,0,0,2020-03-05T09:00:00
UK,Bexley,0,0,0,2020-03-05T09:00:00
UK,Bedford,0,0,0,2020-03-05T09:00:00
UK,Bath and North East Somerset,0,0,0,2020-03-05T09:00:00
UK,Wolverhampton,0,0,0,2020-03-05T09:00:00
UK,Worcestershire,0,0,0,2020-03-05T09:00:00
UK,Brent,0,0,0,2020-03-05T09:00:00
UK,Croydon,0,0,0,2020-03-05T09:00:00
UK,West Berkshire,0,0,0,2020-03-05T09:00:00
UK,Darlington,0,0,0,2020-03-05T09:00:00
UK,Havering,0,0,0,2020-03-05T09:00:00
UK,Hartlepool,0,0,0,2020-03-05T09:00:00
UK,Haringey,0,0,0,2020-03-05T09:00:00
UK,Wakefield,0,0,0,2020-03-05T09:00:00
UK,Hammersmith and Fulham,0,0,0,2020-03-05T09:00:00
UK,Halton,0,0,0,2020-03-05T09:00:00
UK,Hackney,0,0,0,2020-03-05T09:00:00
UK,Greenwich,0,0,0,2020-03-05T09:00:00
UK,Walsall,0,0,0,2020-03-05T09:00:00
UK,Gateshead,0,0,0,2020-03-05T09:00:00
UK,Cumbria,0,0,0,2020-03-05T09:00:00
UK,Enfield,0,0,0,2020-03-05T09:00:00
UK,Waltham Forest,0,0,0,2020-03-05T09:00:00
UK,Dudley,0,0,0,2020-03-05T09:00:00
UK,Derby,0,0,0,2020-03-05T09:00:00
UK,Warwickshire,0,0,0,2020-03-05T09:00:00
UK,East Riding of Yorkshire,0,0,0,2020-03-05T09:00:00
UK,Warrington,0,0,0,2020-03-05T09:00:00
UK,Doncaster,0,0,0,2020-03-05T09:00:00
UK,Dorset,0,0,0,2020-03-05T09:00:00
UK,East Sussex,0,0,0,2020-03-05T09:00:00
UK,Trafford,1 to 4,1,4,2020-03-05T09:00:00
UK,Wokingham,1 to 4,1,4,2020-03-05T09:00:00
UK,Surrey,1 to 4,1,4,2020-03-05T09:00:00
UK,Staffordshire,1 to 4,1,4,2020-03-05T09:00:00
UK,Wandsworth,1 to 4,1,4,2020-03-05T09:00:00
UK,West Sussex,1 to 4,1,4,2020-03-05T09:00:00
UK,Wiltshire,1 to 4,1,4,2020-03-05T09:00:00
UK,Southwark,1 to 4,1,4,2020-03-05T09:00:00
UK,Wigan,1 to 4,1,4,2020-03-05T09:00:00
UK,Wirral,1 to 4,1,4,2020-03-05T09:00:00
UK,Torbay,1 to 4,1,4,2020-03-05T09:00:00
UK,Manchester,1 to 4,1,4,2020-03-05T09:00:00
