country,nuts_2,cases,deaths,datetime
PL,zachodniopomorskie,1041,27,2020-08-23T00:00:00
PL,kujawsko-pomorskie,1126,51,2020-08-23T00:00:00
PL,podlaskie,1196,29,2020-08-23T00:00:00
PL,świętokrzyskie,1250,49,2020-08-23T00:00:00
PL,lubelskie,1387,24,2020-08-23T00:00:00
PL,opolskie,1535,60,2020-08-23T00:00:00
PL,śląskie,19713,460,2020-08-23T00:00:00
PL,pomorskie,2045,44,2020-08-23T00:00:00
PL,podkarpackie,2099,79,2020-08-23T00:00:00
PL,dolnośląskie,3858,161,2020-08-23T00:00:00
PL,łódzkie,4955,226,2020-08-23T00:00:00
PL,wielkopolskie,5142,218,2020-08-23T00:00:00
PL,lubuskie,629,13,2020-08-23T00:00:00
PL,małopolskie,6436,109,2020-08-23T00:00:00
PL,warmińsko-mazurskie,738,5,2020-08-23T00:00:00
PL,mazowieckie,8612,400,2020-08-23T00:00:00
