country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,podkarpackie,126847,0.05,4463,2044,16,2465,2021-08-06T00:00:00
PL,zachodniopomorskie,130172,0.06,2933,1940,13,2339,2021-08-06T00:00:00
PL,łódzkie,6206,0.05,513,2493,14,5557,2021-08-06T00:00:00
PL,warmińsko-mazurskie,2116,0.01,215,1145,2,1331,2021-08-06T00:00:00
PL,śląskie,10174,0.04,1272,4553,25,5664,2021-08-06T00:00:00
PL,małopolskie,6015,0.06,602,3026,28,4761,2021-08-06T00:00:00
PL,mazowieckie,397352,0.06,9454,4872,37,20530,2021-08-06T00:00:00
PL,świętokrzyskie,2045,0.03,359,1193,5,1335,2021-08-06T00:00:00
PL,wielkopolskie,286055,0.01,7382,2464,6,6233,2021-08-06T00:00:00
PL,lubelskie,127222,0.02,4530,1932,7,3524,2021-08-06T00:00:00
PL,lubuskie,74107,0.05,2053,871,5,1799,2021-08-06T00:00:00
PL,opolskie,70045,0.05,2056,1204,5,1811,2021-08-06T00:00:00
PL,pomorskie,192701,0.03,4490,2093,6,3948,2021-08-06T00:00:00
PL,kujawsko-pomorskie,181309,0.03,4791,1673,7,2285,2021-08-06T00:00:00
PL,podlaskie,70100,0.07,2150,926,8,1735,2021-08-06T00:00:00
PL,dolnośląskie,7287,0.03,590,2450,13,6827,2021-08-06T00:00:00
