country,nuts_2,cases,deaths,datetime
PL,małopolskie,12475,204,2020-10-05T00:00:00
PL,lubuskie,1278,21,2020-10-05T00:00:00
PL,mazowieckie,14031,457,2020-10-05T00:00:00
PL,warmińsko-mazurskie,1990,24,2020-10-05T00:00:00
PL,zachodniopomorskie,2144,36,2020-10-05T00:00:00
PL,śląskie,23412,566,2020-10-05T00:00:00
PL,świętokrzyskie,2469,60,2020-10-05T00:00:00
PL,podlaskie,2496,48,2020-10-05T00:00:00
PL,opolskie,2583,81,2020-10-05T00:00:00
PL,lubelskie,3273,54,2020-10-05T00:00:00
PL,kujawsko-pomorskie,3530,74,2020-10-05T00:00:00
PL,podkarpackie,4634,148,2020-10-05T00:00:00
PL,dolnośląskie,5572,184,2020-10-05T00:00:00
PL,pomorskie,6027,97,2020-10-05T00:00:00
PL,łódzkie,7413,283,2020-10-05T00:00:00
PL,wielkopolskie,8753,322,2020-10-05T00:00:00
