country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,podkarpackie,64926,0.75,2103,1807,194,5587,2021-01-23T00:00:00
PL,lubuskie,35918,1.64,889,998,186,5320,2021-01-23T00:00:00
PL,podlaskie,39272,1.85,1016,1245,237,5354,2021-01-23T00:00:00
PL,małopolskie,9360,0.73,412,2689,274,9258,2021-01-23T00:00:00
PL,łódzkie,15183,1.42,775,2956,384,11390,2021-01-23T00:00:00
PL,warmińsko-mazurskie,16406,2.54,524,1628,385,9619,2021-01-23T00:00:00
PL,lubelskie,73587,1.8,2313,2132,418,7864,2021-01-23T00:00:00
PL,dolnośląskie,12861,1.43,461,3675,463,12699,2021-01-23T00:00:00
PL,zachodniopomorskie,76375,2.82,1427,2321,510,12203,2021-01-23T00:00:00
PL,pomorskie,98655,2.19,2048,2905,567,16479,2021-01-23T00:00:00
PL,śląskie,19336,1.17,774,3870,581,13621,2021-01-23T00:00:00
PL,wielkopolskie,149705,1.71,3690,3717,679,18877,2021-01-23T00:00:00
PL,kujawsko-pomorskie,101515,3.11,2113,3017,732,13102,2021-01-23T00:00:00
PL,świętokrzyskie,3739,0.73,203,1033,106,2805,2021-01-23T00:00:00
PL,mazowieckie,179811,1.72,4168,6715,1044,36183,2021-01-23T00:00:00
PL,opolskie,40091,0.97,1166,1007,110,4264,2021-01-23T00:00:00
