country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,podlaskie,70306,0.1,2154,1110,14,1196,2021-08-28T00:00:00
PL,pomorskie,192987,0.06,4492,2309,16,3233,2021-08-28T00:00:00
PL,dolnośląskie,7536,0.05,593,2882,26,5409,2021-08-28T00:00:00
PL,lubelskie,127464,0.08,4534,2220,22,2546,2021-08-28T00:00:00
PL,podkarpackie,127147,0.08,4466,2640,20,1554,2021-08-28T00:00:00
PL,łódzkie,6431,0.07,515,2725,22,4034,2021-08-28T00:00:00
PL,wielkopolskie,286328,0.05,7387,2549,22,4745,2021-08-28T00:00:00
PL,zachodniopomorskie,130366,0.12,2938,1587,21,1894,2021-08-28T00:00:00
PL,małopolskie,6499,0.09,606,3722,38,3447,2021-08-28T00:00:00
PL,śląskie,10578,0.07,1281,4709,38,4623,2021-08-28T00:00:00
PL,lubuskie,74184,0.05,2054,1017,6,1399,2021-08-28T00:00:00
PL,warmińsko-mazurskie,2259,0.04,219,1392,6,1094,2021-08-28T00:00:00
PL,mazowieckie,397974,0.09,9460,5024,61,16599,2021-08-28T00:00:00
PL,świętokrzyskie,2153,0.06,363,1178,8,718,2021-08-28T00:00:00
PL,kujawsko-pomorskie,181479,0.04,4793,1690,10,1586,2021-08-28T00:00:00
PL,opolskie,70164,0.08,2057,1244,11,1398,2021-08-28T00:00:00
