country,nuts_2,cases,deaths,datetime
PL,podlaskie,2,,2020-03-18T00:00:00
PL,lubuskie,3,,2020-03-18T00:00:00
PL,świętokrzyskie,4,,2020-03-18T00:00:00
PL,małopolskie,6,,2020-03-18T00:00:00
PL,zachodniopomorskie,8,,2020-03-18T00:00:00
PL,kujawsko-pomorskie,8,,2020-03-18T00:00:00
PL,pomorskie,9,,2020-03-18T00:00:00
PL,opolskie,9,,2020-03-18T00:00:00
PL,warmińsko-mazurskie,11,,2020-03-18T00:00:00
PL,wielkopolskie,13,1.0,2020-03-18T00:00:00
PL,podkarpackie,14,1.0,2020-03-18T00:00:00
PL,lubelskie,22,1.0,2020-03-18T00:00:00
PL,śląskie,30,,2020-03-18T00:00:00
PL,dolnośląskie,40,2.0,2020-03-18T00:00:00
PL,łódzkie,42,,2020-03-18T00:00:00
PL,mazowieckie,66,,2020-03-18T00:00:00
