country,nuts_2,cases,deaths,datetime
PL,opolskie,1040,54,2020-07-20T00:00:00
PL,podkarpackie,1097,56,2020-07-20T00:00:00
PL,śląskie,14418,373,2020-07-20T00:00:00
PL,małopolskie,2534,49,2020-07-20T00:00:00
PL,warmińsko-mazurskie,298,2,2020-07-20T00:00:00
PL,dolnośląskie,3073,152,2020-07-20T00:00:00
PL,lubuskie,319,1,2020-07-20T00:00:00
PL,wielkopolskie,3453,190,2020-07-20T00:00:00
PL,łódzkie,3630,193,2020-07-20T00:00:00
PL,mazowieckie,5704,365,2020-07-20T00:00:00
PL,zachodniopomorskie,660,23,2020-07-20T00:00:00
PL,kujawsko-pomorskie,724,49,2020-07-20T00:00:00
PL,pomorskie,746,39,2020-07-20T00:00:00
PL,lubelskie,882,20,2020-07-20T00:00:00
PL,świętokrzyskie,890,45,2020-07-20T00:00:00
PL,podlaskie,915,16,2020-07-20T00:00:00
