country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,wielkopolskie,110,0.31,13,4170,137,8645,2021-05-28T00:00:00
PL,mazowieckie,113,0.21,9,8434,150,19852,2021-05-28T00:00:00
PL,l¹skie,123,0.27,20,5822,152,7200,2021-05-28T00:00:00
PL,lubuskie,14,0.14,1,1515,18,1968,2021-05-28T00:00:00
PL,warmiñsko-mazurskie,21,0.15,2,1717,23,1842,2021-05-28T00:00:00
PL,podkarpackie,27,0.13,9,2726,37,1976,2021-05-28T00:00:00
PL,wiêtokrzyskie,28,0.23,4,1379,41,1577,2021-05-28T00:00:00
PL,podlaskie,32,0.27,5,1093,34,1502,2021-05-28T00:00:00
PL,opolskie,34,0.35,4,1282,40,2399,2021-05-28T00:00:00
PL,kujawsko-pomorskie,39,0.19,8,2417,42,2752,2021-05-28T00:00:00
PL,lubelskie,53,0.25,6,2376,65,4086,2021-05-28T00:00:00
PL,zachodniopomorskie,56,0.33,6,2342,64,3811,2021-05-28T00:00:00
PL,pomorskie,60,0.26,1,4299,72,5250,2021-05-28T00:00:00
PL,ma³opolskie,66,0.19,10,3874,76,5469,2021-05-28T00:00:00
PL,³ódzkie,71,0.29,6,3953,101,6382,2021-05-28T00:00:00
PL,dolnol¹skie,84,0.29,13,3902,106,6440,2021-05-28T00:00:00
