country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,kujawsko-pomorskie,159120,5.33,3619,3511,1286,20163,2021-04-04T00:00:00
PL,pomorskie,169694,5.42,3460,4933,1337,26002,2021-04-04T00:00:00
PL,łódzkie,67462,5.63,1968,4324,1436,26456,2021-04-04T00:00:00
PL,małopolskie,79552,4.96,1567,5421,1770,37794,2021-04-04T00:00:00
PL,dolnośląskie,86523,8.0,1613,5983,2484,36776,2021-04-04T00:00:00
PL,wielkopolskie,238912,7.53,5389,6780,2710,48180,2021-04-04T00:00:00
PL,podlaskie,61552,3.03,1717,1194,368,7556,2021-04-04T00:00:00
PL,mazowieckie,338635,6.57,7116,12357,3855,72000,2021-04-04T00:00:00
PL,śląskie,145064,8.52,2876,9321,3994,62203,2021-04-04T00:00:00
PL,świętokrzyskie,26461,4.08,817,1886,585,11791,2021-04-04T00:00:00
PL,warmińsko-mazurskie,62629,3.53,1434,1744,527,12068,2021-04-04T00:00:00
PL,lubelskie,106993,3.02,3550,2235,667,16064,2021-04-04T00:00:00
PL,opolskie,57751,6.6,1583,1661,665,8884,2021-04-04T00:00:00
PL,lubuskie,64123,6.54,1503,1870,706,11855,2021-04-04T00:00:00
PL,zachodniopomorskie,111152,4.13,2211,2608,766,15372,2021-04-04T00:00:00
PL,podkarpackie,111692,4.14,3280,2457,939,22121,2021-04-04T00:00:00
