country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,podkarpackie,126557,0.05,4431,2408,43,1495,2021-06-12T00:00:00
PL,pomorskie,192371,0.05,4437,3647,14,3017,2021-06-12T00:00:00
PL,śląskie,9515,0.03,1185,6324,26,4158,2021-06-12T00:00:00
PL,zachodniopomorskie,129873,0.08,2905,2038,20,2179,2021-06-12T00:00:00
PL,kujawsko-pomorskie,181023,0.07,4755,2455,18,1565,2021-06-12T00:00:00
PL,małopolskie,5368,0.04,543,4361,20,3328,2021-06-12T00:00:00
PL,lubelskie,126740,0.09,4474,2598,26,2589,2021-06-12T00:00:00
PL,łódzkie,5761,0.09,469,4102,30,4523,2021-06-12T00:00:00
PL,dolnośląskie,6794,0.08,526,3786,36,4161,2021-06-12T00:00:00
PL,wielkopolskie,285449,0.07,7308,4050,31,4939,2021-06-12T00:00:00
PL,mazowieckie,396448,0.07,9377,8364,93,19788,2021-06-12T00:00:00
PL,podlaskie,69860,0.04,2140,1181,10,896,2021-06-12T00:00:00
PL,świętokrzyskie,1851,0.04,322,1505,7,1126,2021-06-12T00:00:00
PL,warmińsko-mazurskie,1909,0.04,194,1468,8,985,2021-06-12T00:00:00
PL,lubuskie,74015,0.06,2035,1334,10,1316,2021-06-12T00:00:00
PL,opolskie,69896,0.06,2037,1141,8,1447,2021-06-12T00:00:00
