country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,dolnośląskie,4932,0.4,167,998,131,8174,2021-01-04T00:00:00
PL,podkarpackie,60086,0.55,1862,923,143,3500,2021-01-04T00:00:00
PL,warmińsko-mazurskie,6559,0.98,161,727,157,9187,2021-01-04T00:00:00
PL,lubelskie,66725,0.68,1870,1162,224,5966,2021-01-04T00:00:00
PL,małopolskie,3336,0.57,145,1699,221,5349,2021-01-04T00:00:00
PL,śląskie,7539,0.63,265,2056,330,10753,2021-01-04T00:00:00
PL,łódzkie,6429,1.17,166,1635,337,8468,2021-01-04T00:00:00
PL,wielkopolskie,134150,0.91,3017,1680,378,14629,2021-01-04T00:00:00
PL,zachodniopomorskie,64384,2.57,1050,1794,548,11283,2021-01-04T00:00:00
PL,kujawsko-pomorskie,87382,2.34,1560,1584,567,12384,2021-01-04T00:00:00
PL,świętokrzyskie,1349,0.48,63,688,88,1979,2021-01-04T00:00:00
PL,pomorskie,84729,2.65,1588,2643,673,12192,2021-01-04T00:00:00
PL,mazowieckie,160840,1.37,3477,4118,852,21021,2021-01-04T00:00:00
PL,podlaskie,34857,0.68,862,388,89,3320,2021-01-04T00:00:00
PL,opolskie,37084,0.86,1059,454,96,2756,2021-01-04T00:00:00
PL,lubuskie,31862,0.95,686,571,131,4326,2021-01-04T00:00:00
