country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,świętokrzyskie,3081,0.78,393,1294,109,2065,2021-10-21T00:00:00
PL,warmińsko-mazurskie,4286,1.27,247,1942,205,5429,2021-10-21T00:00:00
PL,łódzkie,9809,0.87,586,3044,244,9427,2021-10-21T00:00:00
PL,małopolskie,10330,0.57,673,2624,213,7050,2021-10-21T00:00:00
PL,dolnośląskie,10524,0.93,629,3114,309,8145,2021-10-21T00:00:00
PL,śląskie,13886,0.64,1336,4693,311,7638,2021-10-21T00:00:00
PL,opolskie,71032,0.91,2085,1035,91,2804,2021-10-21T00:00:00
PL,lubuskie,75074,0.84,2065,1195,96,3497,2021-10-21T00:00:00
PL,podlaskie,75647,4.44,2210,2114,554,14428,2021-10-21T00:00:00
PL,podkarpackie,130506,1.48,4535,2881,342,5909,2021-10-21T00:00:00
PL,zachodniopomorskie,134044,1.69,2972,2312,323,7947,2021-10-21T00:00:00
PL,lubelskie,139808,5.81,4709,4961,1297,23888,2021-10-21T00:00:00
PL,kujawsko-pomorskie,183553,1.05,4843,2247,229,4741,2021-10-21T00:00:00
PL,pomorskie,195979,1.19,4522,3215,292,8888,2021-10-21T00:00:00
PL,wielkopolskie,289183,0.7,7431,3008,262,9455,2021-10-21T00:00:00
PL,mazowieckie,408887,1.93,9557,8097,1133,35802,2021-10-21T00:00:00
