country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,podlaskie,103,0.88,12,1481,113,3539,2021-04-27T00:00:00
PL,lubuskie,114,1.13,7,1949,125,4845,2021-04-27T00:00:00
PL,opolskie,152,1.55,11,2003,175,5296,2021-04-27T00:00:00
PL,warmiñsko-mazurskie,153,1.08,14,2090,177,4824,2021-04-27T00:00:00
PL,podkarpackie,157,0.74,35,3635,437,7563,2021-04-27T00:00:00
PL,pomorskie,183,0.78,21,2969,208,9740,2021-04-27T00:00:00
PL,wiêtokrzyskie,191,1.55,29,1985,294,5898,2021-04-27T00:00:00
PL,zachodniopomorskie,315,1.86,15,2806,351,8228,2021-04-27T00:00:00
PL,lubelskie,337,1.6,27,3221,369,9029,2021-04-27T00:00:00
PL,kujawsko-pomorskie,372,1.8,41,3778,413,9085,2021-04-27T00:00:00
PL,ma³opolskie,403,1.18,61,4399,457,16799,2021-04-27T00:00:00
PL,wielkopolskie,500,1.43,15,4918,577,21885,2021-04-27T00:00:00
PL,dolnol¹skie,547,1.89,33,5020,691,18224,2021-04-27T00:00:00
PL,³ódzkie,592,2.42,29,4858,650,13625,2021-04-27T00:00:00
PL,mazowieckie,700,1.29,34,8613,970,27413,2021-04-27T00:00:00
PL,l¹skie,817,1.81,76,6842,987,27164,2021-04-27T00:00:00
