country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,lubuskie,74064,0.0,2049,1010,0,2268,2021-07-15T00:00:00
PL,warmińsko-mazurskie,2038,0.0,210,1342,0,1674,2021-07-15T00:00:00
PL,kujawsko-pomorskie,181208,0.05,4785,1527,13,2512,2021-07-15T00:00:00
PL,wielkopolskie,285888,0.04,7369,2581,22,7800,2021-07-15T00:00:00
PL,mazowieckie,396974,0.03,9444,6246,20,23885,2021-07-15T00:00:00
PL,zachodniopomorskie,130070,0.01,2930,1847,2,3024,2021-07-15T00:00:00
PL,małopolskie,5635,0.01,600,3072,3,5931,2021-07-15T00:00:00
PL,świętokrzyskie,1979,0.02,356,1227,4,1662,2021-07-15T00:00:00
PL,łódzkie,6070,0.02,507,2737,9,6698,2021-07-15T00:00:00
PL,opolskie,70002,0.04,2055,877,4,2127,2021-07-15T00:00:00
PL,lubelskie,127033,0.02,4520,2083,9,7503,2021-07-15T00:00:00
PL,śląskie,9906,0.01,1264,4539,8,7607,2021-07-15T00:00:00
PL,dolnośląskie,7112,0.02,585,2791,11,7904,2021-07-15T00:00:00
PL,podlaskie,69990,0.06,2149,957,8,1967,2021-07-15T00:00:00
PL,pomorskie,192552,0.03,4483,2575,8,4939,2021-07-15T00:00:00
PL,podkarpackie,126707,0.04,4457,2141,12,2930,2021-07-15T00:00:00
