country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,lubuskie,74052,0.01,2045,1034,2,2141,2021-07-03T00:00:00
PL,opolskie,69977,0.01,2053,966,1,2245,2021-07-03T00:00:00
PL,wielkopolskie,285780,0.03,7362,3190,14,7705,2021-07-03T00:00:00
PL,mazowieckie,396846,0.04,9436,6573,25,25844,2021-07-03T00:00:00
PL,podlaskie,69943,0.03,2147,1101,3,1726,2021-07-03T00:00:00
PL,świętokrzyskie,1956,0.02,351,1295,3,1785,2021-07-03T00:00:00
PL,kujawsko-pomorskie,181156,0.02,4779,1848,7,2779,2021-07-03T00:00:00
PL,warmińsko-mazurskie,1991,0.03,209,1349,4,1673,2021-07-03T00:00:00
PL,podkarpackie,126678,0.02,4449,2561,14,3078,2021-07-03T00:00:00
PL,lubelskie,126979,0.03,4515,2108,7,3944,2021-07-03T00:00:00
PL,łódzkie,5999,0.02,498,3092,9,7467,2021-07-03T00:00:00
PL,pomorskie,192493,0.03,4479,2756,6,5711,2021-07-03T00:00:00
PL,dolnośląskie,7035,0.02,563,2953,16,8337,2021-07-03T00:00:00
PL,małopolskie,5578,0.02,587,3924,14,6329,2021-07-03T00:00:00
PL,śląskie,9835,0.02,1260,5192,14,7973,2021-07-03T00:00:00
PL,zachodniopomorskie,130027,0.05,2926,1764,11,3014,2021-07-03T00:00:00
