country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,kujawsko-pomorskie,181471,0.05,4793,1508,13,1638,2021-08-27T00:00:00
PL,lubelskie,127448,0.06,4534,1880,15,2625,2021-08-27T00:00:00
PL,łódzkie,6413,0.07,515,2663,18,4055,2021-08-27T00:00:00
PL,wielkopolskie,286309,0.05,7386,2450,19,4760,2021-08-27T00:00:00
PL,śląskie,10545,0.04,1280,4247,22,4616,2021-08-27T00:00:00
PL,małopolskie,6467,0.07,606,3131,24,3543,2021-08-27T00:00:00
PL,podkarpackie,127131,0.11,4465,1975,36,1624,2021-08-27T00:00:00
PL,pomorskie,192973,0.11,4492,2456,30,3228,2021-08-27T00:00:00
PL,lubuskie,74179,0.03,2054,866,4,1465,2021-08-27T00:00:00
PL,mazowieckie,397923,0.09,9460,4730,62,16537,2021-08-27T00:00:00
PL,opolskie,70156,0.06,2057,981,7,1299,2021-08-27T00:00:00
PL,świętokrzyskie,2146,0.05,362,1147,9,738,2021-08-27T00:00:00
PL,warmińsko-mazurskie,2254,0.05,219,1157,7,1124,2021-08-27T00:00:00
PL,podlaskie,70294,0.07,2154,884,9,1185,2021-08-27T00:00:00
PL,dolnośląskie,7521,0.03,593,2355,10,5396,2021-08-27T00:00:00
PL,zachodniopomorskie,130346,0.05,2937,1518,14,1897,2021-08-27T00:00:00
