country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,lubelskie,77594,0.52,2579,1266,134,5746,2021-02-08T00:00:00
PL,dolnośląskie,17715,0.38,664,936,133,7730,2021-02-08T00:00:00
PL,zachodniopomorskie,81112,0.72,1642,1034,138,7333,2021-02-08T00:00:00
PL,śląskie,25870,0.32,1058,1858,178,9285,2021-02-08T00:00:00
PL,podkarpackie,67794,0.73,2241,1098,177,4418,2021-02-08T00:00:00
PL,wielkopolskie,157174,0.44,4096,1647,185,12761,2021-02-08T00:00:00
PL,kujawsko-pomorskie,108810,1.1,2480,1167,281,9112,2021-02-08T00:00:00
PL,pomorskie,106431,1.41,2340,2084,355,12736,2021-02-08T00:00:00
PL,opolskie,41626,0.41,1235,563,46,2327,2021-02-08T00:00:00
PL,mazowieckie,192350,0.81,4846,3155,488,26268,2021-02-08T00:00:00
PL,warmińsko-mazurskie,21417,0.49,696,528,77,7855,2021-02-08T00:00:00
PL,małopolskie,13142,0.24,581,1211,95,6261,2021-02-08T00:00:00
PL,łódzkie,19453,0.34,1041,1077,98,8107,2021-02-08T00:00:00
PL,lubuskie,38469,0.87,1005,578,99,4197,2021-02-08T00:00:00
PL,podlaskie,42317,0.76,1156,495,102,3743,2021-02-08T00:00:00
PL,świętokrzyskie,5289,0.77,298,823,106,1862,2021-02-08T00:00:00
