country,nuts_2,cases,deaths,datetime
PL,lubuskie,88,0,2020-05-03T00:00:00
PL,warmińsko-mazurskie,148,1,2020-05-03T00:00:00
PL,świętokrzyskie,278,8,2020-05-03T00:00:00
PL,podkarpackie,350,24,2020-05-03T00:00:00
PL,lubelskie,374,14,2020-05-03T00:00:00
PL,podlaskie,378,5,2020-05-03T00:00:00
PL,zachodniopomorskie,414,10,2020-05-03T00:00:00
PL,opolskie,422,28,2020-05-03T00:00:00
PL,pomorskie,444,15,2020-05-03T00:00:00
PL,kujawsko-pomorskie,557,29,2020-05-03T00:00:00
PL,małopolskie,944,31,2020-05-03T00:00:00
PL,łódzkie,1049,34,2020-05-03T00:00:00
PL,wielkopolskie,1518,93,2020-05-03T00:00:00
PL,dolnośląskie,1645,52,2020-05-03T00:00:00
PL,mazowieckie,2508,207,2020-05-03T00:00:00
PL,śląskie,2576,127,2020-05-03T00:00:00
