country,nuts_2,cases,deaths,datetime
PL,pomorskie,10754,173,2020-10-18T00:00:00
PL,łódzkie,13000,324,2020-10-18T00:00:00
PL,wielkopolskie,15363,419,2020-10-18T00:00:00
PL,małopolskie,23009,325,2020-10-18T00:00:00
PL,mazowieckie,24469,543,2020-10-18T00:00:00
PL,lubuskie,2589,31,2020-10-18T00:00:00
PL,śląskie,30100,665,2020-10-18T00:00:00
PL,warmińsko-mazurskie,3721,50,2020-10-18T00:00:00
PL,podlaskie,4245,82,2020-10-18T00:00:00
PL,zachodniopomorskie,4541,47,2020-10-18T00:00:00
PL,opolskie,4881,115,2020-10-18T00:00:00
PL,świętokrzyskie,5245,103,2020-10-18T00:00:00
PL,lubelskie,6867,119,2020-10-18T00:00:00
PL,kujawsko-pomorskie,7928,116,2020-10-18T00:00:00
PL,dolnośląskie,9404,219,2020-10-18T00:00:00
PL,podkarpackie,9650,242,2020-10-18T00:00:00
