country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,lubuskie,74046,0.01,2043,1087,1,1727,2021-06-30T00:00:00
PL,łódzkie,5986,0.06,495,3625,19,6182,2021-06-30T00:00:00
PL,wielkopolskie,285742,0.04,7355,3528,17,6130,2021-06-30T00:00:00
PL,mazowieckie,396798,0.03,9426,6301,22,21210,2021-06-30T00:00:00
PL,zachodniopomorskie,130006,0.01,2925,2031,2,2405,2021-06-30T00:00:00
PL,opolskie,69971,0.03,2051,1054,4,1669,2021-06-30T00:00:00
PL,śląskie,9803,0.01,1256,5884,6,6350,2021-06-30T00:00:00
PL,warmińsko-mazurskie,1981,0.02,205,1470,5,1426,2021-06-30T00:00:00
PL,małopolskie,5555,0.01,582,3917,9,5281,2021-06-30T00:00:00
PL,podkarpackie,126667,0.02,4448,2230,5,2506,2021-06-30T00:00:00
PL,dolnośląskie,7014,0.02,560,3338,10,6337,2021-06-30T00:00:00
PL,kujawsko-pomorskie,181139,0.02,4774,2297,6,2160,2021-06-30T00:00:00
PL,podlaskie,69938,0.04,2146,1073,6,1325,2021-06-30T00:00:00
PL,pomorskie,192482,0.03,4476,3640,7,4555,2021-06-30T00:00:00
PL,lubelskie,126964,0.03,4509,2266,11,3225,2021-06-30T00:00:00
PL,świętokrzyskie,1948,0.07,346,1582,16,2211,2021-06-30T00:00:00
