country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,mazowieckie,375027,2.3,8078,9733,1438,37367,2021-04-20T00:00:00
PL,śląskie,186488,2.9,4024,7865,1521,38190,2021-04-20T00:00:00
PL,podlaskie,66522,1.21,1885,1538,159,5074,2021-04-20T00:00:00
PL,lubuskie,70190,1.72,1726,2048,205,6442,2021-04-20T00:00:00
PL,opolskie,64370,2.12,1775,2138,231,6522,2021-04-20T00:00:00
PL,podkarpackie,121852,1.25,3792,3081,315,11414,2021-04-20T00:00:00
PL,warmińsko-mazurskie,69233,2.15,1644,2262,334,6403,2021-04-20T00:00:00
PL,świętokrzyskie,34071,2.61,1140,2021,371,7988,2021-04-20T00:00:00
PL,pomorskie,183405,1.78,3872,3636,458,13417,2021-04-20T00:00:00
PL,zachodniopomorskie,121191,2.89,2410,3203,579,10182,2021-04-20T00:00:00
PL,kujawsko-pomorskie,172510,2.63,4158,3645,579,12572,2021-04-20T00:00:00
PL,lubelskie,118161,2.79,3964,3636,636,11714,2021-04-20T00:00:00
PL,małopolskie,102326,1.85,2320,4979,689,23259,2021-04-20T00:00:00
PL,łódzkie,86484,2.91,2450,5359,814,17867,2021-04-20T00:00:00
PL,dolnośląskie,111365,2.98,2100,5326,999,23896,2021-04-20T00:00:00
PL,wielkopolskie,266948,2.53,6153,5525,956,29641,2021-04-20T00:00:00
