country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,lubuskie,1,0.01,0,1344,2,1308,2021-06-16T00:00:00
PL,opolskie,12,0.12,4,1269,20,1240,2021-06-16T00:00:00
PL,lubelskie,16,0.08,2,2664,16,4083,2021-06-16T00:00:00
PL,dolnol¹skie,17,0.06,5,3780,32,4158,2021-06-16T00:00:00
PL,ma³opolskie,19,0.06,2,4423,21,3186,2021-06-16T00:00:00
PL,warmiñsko-mazurskie,2,0.01,1,1501,7,984,2021-06-16T00:00:00
PL,zachodniopomorskie,20,0.12,1,2313,26,1925,2021-06-16T00:00:00
PL,kujawsko-pomorskie,21,0.1,3,2592,27,1574,2021-06-16T00:00:00
PL,³ódzkie,23,0.09,3,3808,30,4706,2021-06-16T00:00:00
PL,l¹skie,23,0.05,13,6498,38,3849,2021-06-16T00:00:00
PL,mazowieckie,25,0.05,10,7905,36,21771,2021-06-16T00:00:00
PL,wielkopolskie,28,0.08,8,4194,35,4380,2021-06-16T00:00:00
PL,wiêtokrzyskie,6,0.05,6,1479,7,1660,2021-06-16T00:00:00
PL,podkarpackie,7,0.03,0,2423,12,1425,2021-06-16T00:00:00
PL,podlaskie,7,0.06,1,1227,8,759,2021-06-16T00:00:00
PL,pomorskie,8,0.03,3,3548,14,3002,2021-06-16T00:00:00
