country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,zachodniopomorskie,115230,5.95,2282,4329,1105,14935,2021-04-10T00:00:00
PL,podkarpackie,116229,5.12,3488,4378,1160,20604,2021-04-10T00:00:00
PL,lubelskie,111702,5.57,3750,5391,1233,16199,2021-04-10T00:00:00
PL,kujawsko-pomorskie,164859,5.75,3842,5302,1263,19547,2021-04-10T00:00:00
PL,pomorskie,175568,5.17,3630,5774,1295,24028,2021-04-10T00:00:00
PL,łódzkie,75607,6.82,2166,6987,1805,27590,2021-04-10T00:00:00
PL,małopolskie,89525,6.25,1886,8582,2231,37629,2021-04-10T00:00:00
PL,dolnośląskie,97164,8.48,1836,8346,2610,38628,2021-04-10T00:00:00
PL,wielkopolskie,250956,7.23,5672,8638,2620,47924,2021-04-10T00:00:00
PL,mazowieckie,354321,5.96,7513,13843,3446,68930,2021-04-10T00:00:00
PL,śląskie,163141,8.18,3355,12439,3870,63799,2021-04-10T00:00:00
PL,podlaskie,63644,4.31,1787,2204,533,7521,2021-04-10T00:00:00
PL,lubuskie,66697,5.71,1576,2478,611,10794,2021-04-10T00:00:00
PL,warmińsko-mazurskie,65474,4.94,1530,3438,739,10766,2021-04-10T00:00:00
PL,świętokrzyskie,29685,5.86,954,3238,810,12337,2021-04-10T00:00:00
PL,opolskie,60474,7.48,1669,2925,781,9493,2021-04-10T00:00:00
