country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,podlaskie,70111,0.09,2150,1176,13,1572,2021-08-07T00:00:00
PL,lubelskie,127236,0.07,4531,2039,14,3481,2021-08-07T00:00:00
PL,śląskie,10193,0.04,1273,5195,24,5750,2021-08-07T00:00:00
PL,wielkopolskie,286075,0.06,7383,2782,25,6187,2021-08-07T00:00:00
PL,mazowieckie,397375,0.04,9454,5109,25,21045,2021-08-07T00:00:00
PL,małopolskie,6041,0.08,602,3710,29,4657,2021-08-07T00:00:00
PL,świętokrzyskie,2048,0.02,360,1278,5,1261,2021-08-07T00:00:00
PL,zachodniopomorskie,130175,0.02,2933,1944,4,2369,2021-08-07T00:00:00
PL,warmińsko-mazurskie,2120,0.03,215,1556,6,1321,2021-08-07T00:00:00
PL,lubuskie,74112,0.05,2053,1080,5,1774,2021-08-07T00:00:00
PL,łódzkie,6212,0.02,513,2809,8,5545,2021-08-07T00:00:00
PL,kujawsko-pomorskie,181316,0.03,4791,1939,7,2201,2021-08-07T00:00:00
PL,pomorskie,192708,0.03,4490,2765,9,4132,2021-08-07T00:00:00
PL,opolskie,70053,0.08,2056,1252,8,1870,2021-08-07T00:00:00
PL,dolnośląskie,7296,0.03,590,2847,10,6811,2021-08-07T00:00:00
PL,podkarpackie,126856,0.04,4463,2529,9,2394,2021-08-07T00:00:00
