country,nuts_2,cases,cases/100k pop.,deaths,tests,tests_positive,quarantine,datetime
PL,lubuskie,29977,1.1,638,383,116,5546,2020-12-26T00:00:00
PL,podlaskie,32978,0.98,784,410,130,4270,2020-12-26T00:00:00
PL,podkarpackie,58582,0.62,1771,704,180,4117,2020-12-26T00:00:00
PL,małopolskie,789,0.5,51,1348,197,5596,2020-12-26T00:00:00
PL,dolnośląskie,1435,0.76,36,1060,260,10726,2020-12-26T00:00:00
PL,lubelskie,63816,1.27,1736,1016,292,7939,2020-12-26T00:00:00
PL,łódzkie,1969,1.14,61,1148,309,10770,2020-12-26T00:00:00
PL,śląskie,1982,0.63,63,1522,335,12800,2020-12-26T00:00:00
PL,warmińsko-mazurskie,1760,2.22,34,748,331,11656,2020-12-26T00:00:00
PL,kujawsko-pomorskie,80816,2.28,1373,1382,552,14878,2020-12-26T00:00:00
PL,pomorskie,77775,2.08,1442,1583,516,14992,2020-12-26T00:00:00
PL,wielkopolskie,126777,1.48,2735,2127,640,17940,2020-12-26T00:00:00
PL,zachodniopomorskie,58780,3.29,947,1375,612,13483,2020-12-26T00:00:00
PL,mazowieckie,151455,1.37,3222,3121,814,25022,2020-12-26T00:00:00
PL,świętokrzyskie,336,0.67,22,636,105,2285,2020-12-26T00:00:00
PL,opolskie,35717,0.99,987,331,102,3686,2020-12-26T00:00:00
