country,nuts_3,cases,datetime
CZ,Nezjištěno,27,2020-04-27T08:30:00
CZ,Jihočeský kraj,173,2020-04-27T08:30:00
CZ,Kraj Vysočina,175,2020-04-27T08:30:00
CZ,Královéhradecký kraj,179,2020-04-27T08:30:00
CZ,Liberecký kraj,194,2020-04-27T08:30:00
CZ,Pardubický kraj,264,2020-04-27T08:30:00
CZ,Zlínský kraj,325,2020-04-27T08:30:00
CZ,Karlovarský kraj,350,2020-04-27T08:30:00
CZ,Jihomoravský kraj,434,2020-04-27T08:30:00
CZ,Ústecký kraj,481,2020-04-27T08:30:00
CZ,Plzeňský kraj,591,2020-04-27T08:30:00
CZ,Olomoucký kraj,678,2020-04-27T08:30:00
CZ,Středočeský kraj,873,2020-04-27T08:30:00
CZ,Moravskoslezský kraj,970,2020-04-27T08:30:00
CZ,Hlavní město Praha,1690,2020-04-27T08:30:00
