country,nuts_3,cases,datetime
CZ,Nezjištěno,2955,2022-05-30T04:55:00
CZ,Karlovarský kraj,85840,2022-05-30T04:55:00
CZ,Liberecký kraj,162372,2022-05-30T04:55:00
CZ,Kraj Vysočina,178087,2022-05-30T04:55:00
CZ,Pardubický kraj,200999,2022-05-30T04:55:00
CZ,Královéhradecký kraj,211049,2022-05-30T04:55:00
CZ,Zlínský kraj,219069,2022-05-30T04:55:00
CZ,Plzeňský kraj,219312,2022-05-30T04:55:00
CZ,Olomoucký kraj,229221,2022-05-30T04:55:00
CZ,Jihočeský kraj,231079,2022-05-30T04:55:00
CZ,Ústecký kraj,277992,2022-05-30T04:55:00
CZ,Jihomoravský kraj,424465,2022-05-30T04:55:00
CZ,Moravskoslezský kraj,425763,2022-05-30T04:55:00
CZ,Hlavní město Praha,513665,2022-05-30T04:55:00
CZ,Středočeský kraj,537819,2022-05-30T04:55:00
