country,nuts_3,cases,datetime
CZ,Nezjištěno,2655,2021-08-29T08:02:00
CZ,Karlovarský kraj,45599,2021-08-29T08:02:00
CZ,Kraj Vysočina,80560,2021-08-29T08:02:00
CZ,Liberecký kraj,81169,2021-08-29T08:02:00
CZ,Zlínský kraj,91777,2021-08-29T08:02:00
CZ,Olomoucký kraj,93481,2021-08-29T08:02:00
CZ,Pardubický kraj,93895,2021-08-29T08:02:00
CZ,Plzeňský kraj,99437,2021-08-29T08:02:00
CZ,Jihočeský kraj,100832,2021-08-29T08:02:00
CZ,Královéhradecký kraj,105020,2021-08-29T08:02:00
CZ,Ústecký kraj,124103,2021-08-29T08:02:00
CZ,Jihomoravský kraj,156933,2021-08-29T08:02:00
CZ,Moravskoslezský kraj,180052,2021-08-29T08:02:00
CZ,Hlavní město Praha,189934,2021-08-29T08:02:00
CZ,Středočeský kraj,233415,2021-08-29T08:02:00
