country,nuts_3,cases,datetime
CZ,Nezjištěno,70,2020-05-11T17:25:00
CZ,Kraj Vysočina,178,2020-05-11T17:25:00
CZ,Jihočeský kraj,179,2020-05-11T17:25:00
CZ,Královéhradecký kraj,191,2020-05-11T17:25:00
CZ,Liberecký kraj,197,2020-05-11T17:25:00
CZ,Pardubický kraj,278,2020-05-11T17:25:00
CZ,Zlínský kraj,336,2020-05-11T17:25:00
CZ,Karlovarský kraj,430,2020-05-11T17:25:00
CZ,Jihomoravský kraj,493,2020-05-11T17:25:00
CZ,Ústecký kraj,505,2020-05-11T17:25:00
CZ,Plzeňský kraj,633,2020-05-11T17:25:00
CZ,Olomoucký kraj,717,2020-05-11T17:25:00
CZ,Středočeský kraj,954,2020-05-11T17:25:00
CZ,Moravskoslezský kraj,1149,2020-05-11T17:25:00
CZ,Hlavní město Praha,1847,2020-05-11T17:25:00
