country,nuts_3,cases,datetime
CZ,Nezjištěno,2588,2021-10-08T08:06:00
CZ,Karlovarský kraj,46068,2021-10-08T08:06:00
CZ,Kraj Vysočina,81150,2021-10-08T08:06:00
CZ,Liberecký kraj,81543,2021-10-08T08:06:00
CZ,Zlínský kraj,92740,2021-10-08T08:06:00
CZ,Olomoucký kraj,94379,2021-10-08T08:06:00
CZ,Pardubický kraj,94601,2021-10-08T08:06:00
CZ,Plzeňský kraj,100300,2021-10-08T08:06:00
CZ,Jihočeský kraj,102122,2021-10-08T08:06:00
CZ,Královéhradecký kraj,105464,2021-10-08T08:06:00
CZ,Ústecký kraj,125251,2021-10-08T08:06:00
CZ,Jihomoravský kraj,159065,2021-10-08T08:06:00
CZ,Moravskoslezský kraj,183205,2021-10-08T08:06:00
CZ,Hlavní město Praha,193609,2021-10-08T08:06:00
CZ,Středočeský kraj,235976,2021-10-08T08:06:00
