country,lau,cases,datetime
IE,Leitrim,226,2020-10-26T00:00:00
IE,Carlow,482,2020-10-26T00:00:00
IE,Longford,535,2020-10-26T00:00:00
IE,Sligo,559,2020-10-26T00:00:00
IE,Waterford,642,2020-10-26T00:00:00
IE,Kilkenny,700,2020-10-26T00:00:00
IE,Roscommon,720,2020-10-26T00:00:00
IE,Laois,752,2020-10-26T00:00:00
IE,Kerry,976,2020-10-26T00:00:00
IE,Offaly,993,2020-10-26T00:00:00
IE,Wexford,1010,2020-10-26T00:00:00
IE,Mayo,1053,2020-10-26T00:00:00
IE,Monaghan,1069,2020-10-26T00:00:00
IE,Tipperary,1099,2020-10-26T00:00:00
IE,Clare,1182,2020-10-26T00:00:00
IE,Wicklow,1227,2020-10-26T00:00:00
IE,Westmeath,1277,2020-10-26T00:00:00
IE,Louth,1536,2020-10-26T00:00:00
IE,Limerick,1814,2020-10-26T00:00:00
IE,Donegal,1935,2020-10-26T00:00:00
IE,Cavan,1935,2020-10-26T00:00:00
IE,Galway,2058,2020-10-26T00:00:00
IE,Meath,2659,2020-10-26T00:00:00
IE,Kildare,3534,2020-10-26T00:00:00
IE,Cork,4762,2020-10-26T00:00:00
IE,Dublin,22396,2020-10-26T00:00:00
