country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,154,258.016967773438,7,6,2020-06-29T00:00:00
SE,Blekinge,444,278.185028076172,12,8,2020-06-29T00:00:00
SE,Kalmar,614,250.156860351563,51,29,2020-06-29T00:00:00
SE,Västerbotten,694,255.394943237305,31,32,2020-06-29T00:00:00
SE,Värmland,940,332.844696044922,66,30,2020-06-29T00:00:00
SE,Jämtland Härjedalen,1032,788.930480957031,48,16,2020-06-29T00:00:00
SE,Kronoberg,1063,527.624572753906,94,21,2020-06-29T00:00:00
SE,Norrbotten,1233,493.0166015625,60,51,2020-06-29T00:00:00
SE,Västernorrland,1338,545.350036621094,112,51,2020-06-29T00:00:00
SE,Halland,1442,431.93310546875,71,35,2020-06-29T00:00:00
SE,Dalarna,1623,563.608215332031,157,64,2020-06-29T00:00:00
SE,Sörmland,2074,697.049133300781,242,130,2020-06-29T00:00:00
SE,Västmanland,2215,802.987182617188,161,51,2020-06-29T00:00:00
SE,Gävleborg,2226,774.578796386719,131,67,2020-06-29T00:00:00
SE,Örebro,2316,759.830078125,161,79,2020-06-29T00:00:00
SE,Skåne,3020,219.18571472168,244,106,2020-06-29T00:00:00
SE,Östergötland,3174,681.854797363281,224,107,2020-06-29T00:00:00
SE,Uppsala,3204,834.999084472656,226,152,2020-06-29T00:00:00
SE,Jönköping,3963,1089.93701171875,169,88,2020-06-29T00:00:00
SE,Västra Götaland,15006,869.468994140625,745,412,2020-06-29T00:00:00
SE,Stockholm,19892,836.824645996094,2298,888,2020-06-29T00:00:00
