country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,319,534.463684082031,6,7,2020-09-06T00:00:00
SE,Blekinge,612,383.444244384766,17,9,2020-09-06T00:00:00
SE,Västerbotten,869,319.795684814453,31,34,2020-09-06T00:00:00
SE,Kalmar,894,364.234893798828,64,31,2020-09-06T00:00:00
SE,Värmland,1206,427.032653808594,73,33,2020-09-06T00:00:00
SE,Jämtland Härjedalen,1210,925.005737304688,64,20,2020-09-06T00:00:00
SE,Kronoberg,1445,717.23193359375,109,24,2020-09-06T00:00:00
SE,Norrbotten,1669,667.351745605469,88,60,2020-09-06T00:00:00
SE,Västernorrland,1859,757.702331542969,135,51,2020-09-06T00:00:00
SE,Dalarna,2205,765.715393066406,174,67,2020-09-06T00:00:00
SE,Halland,2232,668.567749023438,81,39,2020-09-06T00:00:00
SE,Sörmland,2431,817.033020019531,253,133,2020-09-06T00:00:00
SE,Örebro,2743,899.919616699219,171,83,2020-09-06T00:00:00
SE,Västmanland,2769,1003.82458496094,183,55,2020-09-06T00:00:00
SE,Gävleborg,3223,1121.50378417969,163,72,2020-09-06T00:00:00
SE,Uppsala,3809,992.669006347656,242,158,2020-09-06T00:00:00
SE,Östergötland,3855,828.150695800781,275,108,2020-09-06T00:00:00
SE,Skåne,4934,358.10009765625,274,119,2020-09-06T00:00:00
SE,Jönköping,5028,1382.84204101563,181,95,2020-09-06T00:00:00
SE,Västra Götaland,19027,1102.45141601563,855,450,2020-09-06T00:00:00
SE,Stockholm,23219,976.786254882813,2398,927,2020-09-06T00:00:00
