country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,12150,20235.7236328125,86,46,2022-12-21T00:00:00
SE,Blekinge,31778,19968.0944824219,198,88,2022-12-21T00:00:00
SE,Jämtland Härjedalen,34965,26668.5727539063,210,101,2022-12-21T00:00:00
SE,Norrbotten,51691,20702.3073730469,516,275,2022-12-21T00:00:00
SE,Kronoberg,53016,26229.4365234375,425,167,2022-12-21T00:00:00
SE,Västernorrland,57913,23667.1010742188,726,227,2022-12-21T00:00:00
SE,Västerbotten,61909,22678.1254882813,427,204,2022-12-21T00:00:00
SE,Kalmar,64518,26232.1596679688,411,142,2022-12-21T00:00:00
SE,Sörmland,70547,23582.3693847656,704,451,2022-12-21T00:00:00
SE,Värmland,71535,25291.3601074219,440,201,2022-12-21T00:00:00
SE,Gävleborg,75491,26259.8061523438,778,349,2022-12-21T00:00:00
SE,Dalarna,77870,27064.7978515625,575,265,2022-12-21T00:00:00
SE,Västmanland,80151,28944.7319335938,559,166,2022-12-21T00:00:00
SE,Jönköping,91381,25054.1064453125,773,426,2022-12-21T00:00:00
SE,Uppsala,96433,24886.205078125,761,483,2022-12-21T00:00:00
SE,Östergötland,100830,21594.748046875,923,457,2022-12-21T00:00:00
SE,Örebro,102445,33530.1381835938,554,281,2022-12-21T00:00:00
SE,Halland,111205,33056.6975097656,549,235,2022-12-21T00:00:00
SE,Skåne,353109,25458.0258789063,2691,836,2022-12-21T00:00:00
SE,Västra Götaland,451481,26051.7583007813,3488,1712,2022-12-21T00:00:00
SE,Stockholm,614758,25732.3447265625,5833,2710,2022-12-21T00:00:00
