country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,4330,7229.26953125,52,32,2021-08-09T00:00:00
SE,Jämtland Härjedalen,12657,9659.68994140625,121,68,2021-08-09T00:00:00
SE,Blekinge,12954,8133.26928710938,130,58,2021-08-09T00:00:00
SE,Värmland,20682,7314.79711914063,214,129,2021-08-09T00:00:00
SE,Kronoberg,22632,11207.4116210938,318,121,2021-08-09T00:00:00
SE,Västerbotten,23917,8771.421875,181,152,2021-08-09T00:00:00
SE,Kalmar,24508,9968.5927734375,246,104,2021-08-09T00:00:00
SE,Sörmland,26175,8762.11157226563,477,380,2021-08-09T00:00:00
SE,Norrbotten,26929,10782.1896972656,274,214,2021-08-09T00:00:00
SE,Västernorrland,27046,11045.3486328125,481,177,2021-08-09T00:00:00
SE,Dalarna,27251,9468.9609375,344,190,2021-08-09T00:00:00
SE,Västmanland,27963,10113.884765625,353,118,2021-08-09T00:00:00
SE,Örebro,32478,10638.3989257813,342,223,2021-08-09T00:00:00
SE,Gävleborg,36172,12583.7275390625,560,242,2021-08-09T00:00:00
SE,Uppsala,40909,10590.4125976563,540,415,2021-08-09T00:00:00
SE,Halland,41550,12372.0910644531,320,173,2021-08-09T00:00:00
SE,Östergötland,42847,9182.88720703125,637,347,2021-08-09T00:00:00
SE,Jönköping,43919,12051.1752929688,555,337,2021-08-09T00:00:00
SE,Skåne,158362,11440.7543945313,1761,637,2021-08-09T00:00:00
SE,Västra Götaland,192700,11131.63671875,2383,1369,2021-08-09T00:00:00
SE,Stockholm,260840,10936.3798828125,4369,2154,2021-08-09T00:00:00
