country,nuts_3,cases,cases/100k pop.,percent,datetime
SE,Gotland,5,8.0,0.0,2020-03-24T14:00:00
SE,Blekinge,12,8.0,1.0,2020-03-24T14:00:00
SE,Kalmar,15,6.0,1.0,2020-03-24T14:00:00
SE,Västernorrland,17,7.0,1.0,2020-03-24T14:00:00
SE,Kronoberg,18,9.0,1.0,2020-03-24T14:00:00
SE,Västmanland,24,9.0,1.0,2020-03-24T14:00:00
SE,Norrbotten,25,10.0,1.0,2020-03-24T14:00:00
SE,Gävleborg,27,9.0,1.0,2020-03-24T14:00:00
SE,Dalarna,30,10.0,1.0,2020-03-24T14:00:00
SE,Västerbotten,30,11.0,1.0,2020-03-24T14:00:00
SE,Värmland,42,15.0,2.0,2020-03-24T14:00:00
SE,Örebro,48,16.0,2.0,2020-03-24T14:00:00
SE,Jämtland Härjedalen,55,42.0,2.0,2020-03-24T14:00:00
SE,Jönköping,59,16.0,3.0,2020-03-24T14:00:00
SE,Halland,63,19.0,3.0,2020-03-24T14:00:00
SE,Södermanland,66,22.0,3.0,2020-03-24T14:00:00
SE,Uppsala,93,24.0,4.0,2020-03-24T14:00:00
SE,Östergötland,181,39.0,8.0,2020-03-24T14:00:00
SE,Skåne,238,17.0,10.0,2020-03-24T14:00:00
SE,Västra Götaland,265,15.0,12.0,2020-03-24T14:00:00
SE,Stockholm,959,40.0,42.0,2020-03-24T14:00:00
