country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,3196,5354.689453125,47,26,2021-04-08T00:00:00
SE,Jämtland Härjedalen,9223,7050.68408203125,118,50,2021-04-08T00:00:00
SE,Blekinge,9521,5965.314453125,121,42,2021-04-08T00:00:00
SE,Värmland,13677,4842.89013671875,186,86,2021-04-08T00:00:00
SE,Kronoberg,16056,7969.46435546875,297,103,2021-04-08T00:00:00
SE,Kalmar,16781,6836.94189453125,223,77,2021-04-08T00:00:00
SE,Norrbotten,17728,7088.56298828125,244,151,2021-04-08T00:00:00
SE,Västerbotten,18905,6957.1201171875,170,125,2021-04-08T00:00:00
SE,Västernorrland,19234,7839.5087890625,434,134,2021-04-08T00:00:00
SE,Sörmland,19305,6488.203125,421,278,2021-04-08T00:00:00
SE,Dalarna,20346,7065.41748046875,316,136,2021-04-08T00:00:00
SE,Västmanland,22123,8020.083984375,338,98,2021-04-08T00:00:00
SE,Örebro,24303,7973.29443359375,304,171,2021-04-08T00:00:00
SE,Gävleborg,29814,10374.3447265625,534,199,2021-04-08T00:00:00
SE,Östergötland,30113,6469.02783203125,583,261,2021-04-08T00:00:00
SE,Uppsala,31607,8237.1455078125,503,307,2021-04-08T00:00:00
SE,Halland,34203,10245.08203125,297,145,2021-04-08T00:00:00
SE,Jönköping,35454,9750.8515625,539,284,2021-04-08T00:00:00
SE,Skåne,129010,9363.294921875,1649,536,2021-04-08T00:00:00
SE,Västra Götaland,152347,8827.2021484375,2238,1164,2021-04-08T00:00:00
SE,Stockholm,204455,8601.0947265625,4059,1840,2021-04-08T00:00:00
