country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,2202,3689.30737304688,28,21,2020-12-29T00:00:00
SE,Jämtland Härjedalen,4446,3398.82275390625,85,38,2020-12-29T00:00:00
SE,Blekinge,4698,2943.49829101563,44,20,2020-12-29T00:00:00
SE,Värmland,5972,2114.6259765625,122,51,2020-12-29T00:00:00
SE,Kalmar,6455,2629.90649414063,102,45,2020-12-29T00:00:00
SE,Norrbotten,7646,3057.2626953125,133,94,2020-12-29T00:00:00
SE,Västerbotten,8278,3046.33911132813,83,57,2020-12-29T00:00:00
SE,Kronoberg,8607,4272.12109375,197,55,2020-12-29T00:00:00
SE,Sörmland,9036,3036.90258789063,308,189,2020-12-29T00:00:00
SE,Västernorrland,10138,4132.10693359375,225,88,2020-12-29T00:00:00
SE,Dalarna,10603,3682.03198242188,225,86,2020-12-29T00:00:00
SE,Halland,12380,3708.2744140625,140,68,2020-12-29T00:00:00
SE,Örebro,13265,4351.962890625,218,115,2020-12-29T00:00:00
SE,Västmanland,13566,4917.9794921875,260,83,2020-12-29T00:00:00
SE,Östergötland,13869,2979.40893554688,360,171,2020-12-29T00:00:00
SE,Gävleborg,14484,5039.9814453125,319,129,2020-12-29T00:00:00
SE,Jönköping,17129,4710.958984375,331,174,2020-12-29T00:00:00
SE,Uppsala,17704,4613.865234375,352,219,2020-12-29T00:00:00
SE,Skåne,66753,4844.802734375,667,288,2020-12-29T00:00:00
SE,Västra Götaland,71791,4159.6728515625,1257,707,2020-12-29T00:00:00
SE,Stockholm,118357,4979.08984375,3271,1357,2020-12-29T00:00:00
