country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,4472,7465.4482421875,53,32,2021-08-25T00:00:00
SE,Jämtland Härjedalen,12840,9799.2197265625,121,69,2021-08-25T00:00:00
SE,Blekinge,13091,8219.40258789063,130,59,2021-08-25T00:00:00
SE,Värmland,21011,7431.09887695313,214,130,2021-08-25T00:00:00
SE,Kronoberg,22847,11313.7084960938,318,121,2021-08-25T00:00:00
SE,Västerbotten,24441,8963.228515625,181,153,2021-08-25T00:00:00
SE,Kalmar,24798,10086.4741210938,248,104,2021-08-25T00:00:00
SE,Sörmland,26427,8846.27954101563,478,386,2021-08-25T00:00:00
SE,Norrbotten,27067,10837.4753417969,276,214,2021-08-25T00:00:00
SE,Västernorrland,27229,11120.1787109375,482,177,2021-08-25T00:00:00
SE,Dalarna,27569,9579.501953125,345,191,2021-08-25T00:00:00
SE,Västmanland,28488,10303.3188476563,355,118,2021-08-25T00:00:00
SE,Örebro,32862,10764.0356445313,342,226,2021-08-25T00:00:00
SE,Gävleborg,36446,12679.03125,560,244,2021-08-25T00:00:00
SE,Uppsala,41345,10702.6694335938,541,416,2021-08-25T00:00:00
SE,Halland,42101,12535.7150878906,321,174,2021-08-25T00:00:00
SE,Östergötland,43361,9292.9140625,640,350,2021-08-25T00:00:00
SE,Jönköping,44396,12181.8564453125,557,337,2021-08-25T00:00:00
SE,Skåne,160489,11593.8491210938,1762,640,2021-08-25T00:00:00
SE,Västra Götaland,195223,11277.1015625,2387,1385,2021-08-25T00:00:00
SE,Stockholm,265636,11136.8823242188,4371,2164,2021-08-25T00:00:00
