country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,4600,7678.34155273438,54,34,2021-11-15T00:00:00
SE,Jämtland Härjedalen,13304,10152.9995117188,128,71,2021-11-15T00:00:00
SE,Blekinge,13711,8609.20239257813,131,64,2021-11-15T00:00:00
SE,Värmland,22020,7787.78100585938,223,136,2021-11-15T00:00:00
SE,Kronoberg,23851,11810.0922851563,326,125,2021-11-15T00:00:00
SE,Kalmar,26201,10656.7763671875,251,105,2021-11-15T00:00:00
SE,Västerbotten,26700,9790.11962890625,202,157,2021-11-15T00:00:00
SE,Västernorrland,27960,11419.0903320313,487,182,2021-11-15T00:00:00
SE,Sörmland,28008,9374.33422851563,483,394,2021-11-15T00:00:00
SE,Norrbotten,28548,11430.7917480469,294,223,2021-11-15T00:00:00
SE,Dalarna,29041,10091.1884765625,359,194,2021-11-15T00:00:00
SE,Västmanland,31709,11465.54296875,372,128,2021-11-15T00:00:00
SE,Örebro,35127,11505.0966796875,354,229,2021-11-15T00:00:00
SE,Gävleborg,38001,13219.8969726563,564,250,2021-11-15T00:00:00
SE,Uppsala,43478,11251.8540039063,549,425,2021-11-15T00:00:00
SE,Halland,43742,13023.0227050781,328,178,2021-11-15T00:00:00
SE,Östergötland,45315,9711.18798828125,659,364,2021-11-15T00:00:00
SE,Jönköping,46077,12642.3920898438,566,343,2021-11-15T00:00:00
SE,Skåne,168234,12151.3095703125,1806,666,2021-11-15T00:00:00
SE,Västra Götaland,205983,11897.4736328125,2447,1436,2021-11-15T00:00:00
SE,Stockholm,283483,11882.9975585938,4511,2253,2021-11-15T00:00:00
