country,nuts_3,cases,cases/100k pop.,percent,datetime
SE,Gotland,3,5.0,0.0,2020-03-19T14:30:00
SE,Kalmar,7,3.0,1.0,2020-03-19T14:30:00
SE,Norrbotten,8,3.0,1.0,2020-03-19T14:30:00
SE,Dalarna,8,3.0,1.0,2020-03-19T14:30:00
SE,Blekinge,11,7.0,1.0,2020-03-19T14:30:00
SE,Västernorrland,14,6.0,1.0,2020-03-19T14:30:00
SE,Gävleborg,15,5.0,1.0,2020-03-19T14:30:00
SE,Kronoberg,18,9.0,1.0,2020-03-19T14:30:00
SE,Västmanland,18,7.0,1.0,2020-03-19T14:30:00
SE,Västerbotten,23,8.0,2.0,2020-03-19T14:30:00
SE,Jämtland Härjedalen,24,18.0,2.0,2020-03-19T14:30:00
SE,Örebro,27,9.0,2.0,2020-03-19T14:30:00
SE,Värmland,36,13.0,3.0,2020-03-19T14:30:00
SE,Södermanland,38,13.0,3.0,2020-03-19T14:30:00
SE,Jönköping,46,13.0,3.0,2020-03-19T14:30:00
SE,Halland,48,14.0,2.0,2020-03-19T14:30:00
SE,Uppsala,67,17.0,5.0,2020-03-19T14:30:00
SE,Östergötland,88,19.0,6.0,2020-03-19T14:30:00
SE,Västra Götaland,207,12.0,15.0,2020-03-19T14:30:00
SE,Skåne,216,16.0,15.0,2020-03-19T14:30:00
SE,Stockholm,501,21.0,35.0,2020-03-19T14:30:00
