country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,4847,8089.1591796875,54,35,2021-12-20T00:00:00
SE,Jämtland Härjedalen,14029,10705.7802734375,129,73,2021-12-20T00:00:00
SE,Blekinge,14882,9345.42114257813,135,67,2021-12-20T00:00:00
SE,Värmland,23900,8452.36157226563,229,141,2021-12-20T00:00:00
SE,Kronoberg,24557,12159.142578125,329,129,2021-12-20T00:00:00
SE,Västerbotten,27879,10221.6840820313,203,158,2021-12-20T00:00:00
SE,Kalmar,28176,11459.5893554688,257,109,2021-12-20T00:00:00
SE,Norrbotten,29363,11757.2956542969,299,225,2021-12-20T00:00:00
SE,Sörmland,29594,9904.05834960938,487,403,2021-12-20T00:00:00
SE,Västernorrland,29700,12130.58984375,488,185,2021-12-20T00:00:00
SE,Dalarna,31040,10786.0673828125,360,198,2021-12-20T00:00:00
SE,Västmanland,35823,12949.9858398438,383,132,2021-12-20T00:00:00
SE,Örebro,38103,12478.78125,358,234,2021-12-20T00:00:00
SE,Gävleborg,40422,14061.9780273438,570,254,2021-12-20T00:00:00
SE,Halland,46648,13885.9826660156,333,184,2021-12-20T00:00:00
SE,Uppsala,46825,12113.6079101563,554,429,2021-12-20T00:00:00
SE,Östergötland,46949,10060.9624023438,661,374,2021-12-20T00:00:00
SE,Jönköping,48033,13178.267578125,569,354,2021-12-20T00:00:00
SE,Skåne,181759,13124.7958984375,1822,694,2021-12-20T00:00:00
SE,Västra Götaland,215710,12458.2875976563,2475,1467,2021-12-20T00:00:00
SE,Stockholm,305327,12796.2124023438,4547,2296,2021-12-20T00:00:00
