country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,11456,19081.44140625,72,39,2022-06-08T00:00:00
SE,Blekinge,29724,18676.7253417969,168,84,2022-06-08T00:00:00
SE,Jämtland Härjedalen,32883,25081.1372070313,176,92,2022-06-08T00:00:00
SE,Norrbotten,49004,19625.8444824219,409,255,2022-06-08T00:00:00
SE,Kronoberg,49556,24518.7939453125,386,151,2022-06-08T00:00:00
SE,Västernorrland,53705,21946.4174804688,613,205,2022-06-08T00:00:00
SE,Västerbotten,56791,20804.7172851563,327,188,2022-06-08T00:00:00
SE,Kalmar,60260,24501.3354492188,355,131,2022-06-08T00:00:00
SE,Sörmland,64019,21402.0158691406,592,431,2022-06-08T00:00:00
SE,Värmland,65681,23221.9675292969,355,169,2022-06-08T00:00:00
SE,Dalarna,70225,24407.2939453125,484,240,2022-06-08T00:00:00
SE,Gävleborg,73829,25681.7241210938,708,305,2022-06-08T00:00:00
SE,Västmanland,75915,27416.2690429688,492,152,2022-06-08T00:00:00
SE,Jönköping,86507,23718.7998046875,689,397,2022-06-08T00:00:00
SE,Uppsala,89932,23212.388671875,687,454,2022-06-08T00:00:00
SE,Örebro,93165,30493.9174804688,475,265,2022-06-08T00:00:00
SE,Östergötland,95176,20384.451171875,822,420,2022-06-08T00:00:00
SE,Halland,105007,31216.1525878906,456,219,2022-06-08T00:00:00
SE,Skåne,338398,24399.1743164063,2404,785,2022-06-08T00:00:00
SE,Västra Götaland,434782,25088.9711914063,3102,1601,2022-06-08T00:00:00
SE,Stockholm,574915,24066.6611328125,5277,2549,2022-06-08T00:00:00
