country,nuts_3,cases,cases/100k pop.,percent,datetime
SE,Gotland,5,8.0,0.0,2020-03-23T14:00:00
SE,Blekinge,12,8.0,1.0,2020-03-23T14:00:00
SE,Kalmar,12,5.0,1.0,2020-03-23T14:00:00
SE,Västernorrland,15,6.0,1.0,2020-03-23T14:00:00
SE,Dalarna,17,6.0,1.0,2020-03-23T14:00:00
SE,Norrbotten,17,7.0,1.0,2020-03-23T14:00:00
SE,Kronoberg,18,9.0,1.0,2020-03-23T14:00:00
SE,Västmanland,23,8.0,1.0,2020-03-23T14:00:00
SE,Gävleborg,24,8.0,1.0,2020-03-23T14:00:00
SE,Västerbotten,30,11.0,1.0,2020-03-23T14:00:00
SE,Värmland,39,14.0,2.0,2020-03-23T14:00:00
SE,Örebro,42,14.0,2.0,2020-03-23T14:00:00
SE,Jämtland Härjedalen,49,37.0,2.0,2020-03-23T14:00:00
SE,Jönköping,56,15.0,3.0,2020-03-23T14:00:00
SE,Halland,59,18.0,3.0,2020-03-23T14:00:00
SE,Södermanland,64,22.0,3.0,2020-03-23T14:00:00
SE,Uppsala,82,21.0,4.0,2020-03-23T14:00:00
SE,Östergötland,151,32.0,7.0,2020-03-23T14:00:00
SE,Skåne,231,17.0,11.0,2020-03-23T14:00:00
SE,Västra Götaland,254,15.0,13.0,2020-03-23T14:00:00
SE,Stockholm,816,34.0,40.0,2020-03-23T14:00:00
