country,nuts_3,cases,cases/100k pop.,percent,datetime
SE,Gotland,3,5.0,0.0,2020-03-18T14:20:00
SE,Norrbotten,7,3.0,1.0,2020-03-18T14:20:00
SE,Kalmar,7,3.0,1.0,2020-03-18T14:20:00
SE,Dalarna,8,3.0,0.0,2020-03-18T14:20:00
SE,Blekinge,11,7.0,1.0,2020-03-18T14:20:00
SE,Gävleborg,13,5.0,1.0,2020-03-18T14:20:00
SE,Västernorrland,13,5.0,1.0,2020-03-18T14:20:00
SE,Kronoberg,16,8.0,1.0,2020-03-18T14:20:00
SE,Västmanland,18,7.0,1.0,2020-03-18T14:20:00
SE,Västerbotten,19,7.0,1.0,2020-03-18T14:20:00
SE,Jämtland Härjedalen,22,17.0,2.0,2020-03-18T14:20:00
SE,Örebro,23,8.0,2.0,2020-03-18T14:20:00
SE,Värmland,34,12.0,3.0,2020-03-18T14:20:00
SE,Södermanland,37,12.0,3.0,2020-03-18T14:20:00
SE,Jönköping,44,12.0,3.0,2020-03-18T14:20:00
SE,Halland,46,14.0,4.0,2020-03-18T14:20:00
SE,Östergötland,52,11.0,4.0,2020-03-18T14:20:00
SE,Uppsala,52,14.0,4.0,2020-03-18T14:20:00
SE,Västra Götaland,199,12.0,16.0,2020-03-18T14:20:00
SE,Skåne,209,15.0,16.0,2020-03-18T14:20:00
SE,Stockholm,446,19.0,35.0,2020-03-18T14:20:00
