country,nuts_3,cases,cases/100k pop.,percent,datetime
SE,Gotland,5,8.0,0.0,2020-03-25T14:00:00
SE,Blekinge,12,8.0,0.0,2020-03-25T14:00:00
SE,Kalmar,17,7.0,1.0,2020-03-25T14:00:00
SE,Västernorrland,19,8.0,1.0,2020-03-25T14:00:00
SE,Kronoberg,19,9.0,1.0,2020-03-25T14:00:00
SE,Västmanland,29,11.0,1.0,2020-03-25T14:00:00
SE,Norrbotten,30,12.0,1.0,2020-03-25T14:00:00
SE,Gävleborg,32,11.0,1.0,2020-03-25T14:00:00
SE,Västerbotten,33,12.0,1.0,2020-03-25T14:00:00
SE,Dalarna,40,14.0,2.0,2020-03-25T14:00:00
SE,Värmland,45,16.0,2.0,2020-03-25T14:00:00
SE,Örebro,58,19.0,2.0,2020-03-25T14:00:00
SE,Jämtland Härjedalen,59,45.0,2.0,2020-03-25T14:00:00
SE,Jönköping,65,18.0,3.0,2020-03-25T14:00:00
SE,Halland,66,20.0,3.0,2020-03-25T14:00:00
SE,Södermanland,85,29.0,3.0,2020-03-25T14:00:00
SE,Uppsala,102,27.0,4.0,2020-03-25T14:00:00
SE,Östergötland,203,44.0,8.0,2020-03-25T14:00:00
SE,Skåne,246,18.0,10.0,2020-03-25T14:00:00
SE,Västra Götaland,275,16.0,11.0,2020-03-25T14:00:00
SE,Stockholm,1070,45.0,43.0,2020-03-25T14:00:00
