country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,4792,7997.681640625,54,35,2021-12-08T00:00:00
SE,Jämtland Härjedalen,13631,10402.3227539063,129,71,2021-12-08T00:00:00
SE,Blekinge,14344,9007.17553710938,131,65,2021-12-08T00:00:00
SE,Värmland,22978,8126.43432617188,228,139,2021-12-08T00:00:00
SE,Kronoberg,24244,12004.3935546875,328,126,2021-12-08T00:00:00
SE,Kalmar,27322,11112.4487304688,256,105,2021-12-08T00:00:00
SE,Västerbotten,27434,10058.794921875,202,157,2021-12-08T00:00:00
SE,Sörmland,28906,9674.26635742188,486,397,2021-12-08T00:00:00
SE,Västernorrland,28927,11814.50390625,488,184,2021-12-08T00:00:00
SE,Norrbotten,28985,11605.8620605469,295,224,2021-12-08T00:00:00
SE,Dalarna,29750,10337.646484375,359,196,2021-12-08T00:00:00
SE,Västmanland,34142,12343.435546875,375,130,2021-12-08T00:00:00
SE,Örebro,36860,12072.09765625,356,230,2021-12-08T00:00:00
SE,Gävleborg,39471,13731.1977539063,566,252,2021-12-08T00:00:00
SE,Uppsala,45222,11700.8828125,552,426,2021-12-08T00:00:00
SE,Halland,45403,13516.2697753906,331,180,2021-12-08T00:00:00
SE,Östergötland,46147,9889.2861328125,661,369,2021-12-08T00:00:00
SE,Jönköping,47010,12898.0014648438,567,351,2021-12-08T00:00:00
SE,Skåne,175139,12648.3095703125,1815,684,2021-12-08T00:00:00
SE,Västra Götaland,211143,12194.9750976563,2470,1453,2021-12-08T00:00:00
SE,Stockholm,294205,12331.2436523438,4536,2277,2021-12-08T00:00:00
