country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,4588,7658.3828125,54,33,2021-11-10T00:00:00
SE,Jämtland Härjedalen,13287,10140.0375976563,128,71,2021-11-10T00:00:00
SE,Blekinge,13662,8578.39575195313,131,63,2021-11-10T00:00:00
SE,Värmland,21897,7744.30004882813,223,134,2021-11-10T00:00:00
SE,Kronoberg,23820,11794.765625,326,125,2021-11-10T00:00:00
SE,Kalmar,26087,10610.4365234375,251,105,2021-11-10T00:00:00
SE,Västerbotten,26611,9757.54150390625,202,157,2021-11-10T00:00:00
SE,Västernorrland,27907,11397.4184570313,487,182,2021-11-10T00:00:00
SE,Sörmland,27935,9349.95190429688,482,394,2021-11-10T00:00:00
SE,Norrbotten,28470,11399.5427246094,294,221,2021-11-10T00:00:00
SE,Dalarna,29000,10076.9365234375,358,194,2021-11-10T00:00:00
SE,Västmanland,31493,11387.6044921875,369,128,2021-11-10T00:00:00
SE,Örebro,34924,11438.6791992188,353,229,2021-11-10T00:00:00
SE,Gävleborg,37880,13177.810546875,564,250,2021-11-10T00:00:00
SE,Uppsala,43350,11218.8979492188,548,425,2021-11-10T00:00:00
SE,Halland,43616,12985.6057128906,328,178,2021-11-10T00:00:00
SE,Östergötland,45248,9696.845703125,659,364,2021-11-10T00:00:00
SE,Jönköping,46004,12622.392578125,566,342,2021-11-10T00:00:00
SE,Skåne,167690,12112.154296875,1800,662,2021-11-10T00:00:00
SE,Västra Götaland,205587,11874.6420898438,2444,1432,2021-11-10T00:00:00
SE,Stockholm,282476,11840.8989257813,4511,2253,2021-11-10T00:00:00
