country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,12302,20488.5341796875,98,47,2023-01-11T00:00:00
SE,Blekinge,32210,20239.6979980469,207,95,2023-01-11T00:00:00
SE,Jämtland Härjedalen,35244,26881.2973632813,213,101,2023-01-11T00:00:00
SE,Norrbotten,51890,20782.0300292969,534,277,2023-01-11T00:00:00
SE,Kronoberg,53630,26533.0029296875,437,170,2023-01-11T00:00:00
SE,Västernorrland,58518,23914.4897460938,760,232,2023-01-11T00:00:00
SE,Västerbotten,62323,22829.6665039063,450,207,2023-01-11T00:00:00
SE,Kalmar,65348,26569.5444335938,441,143,2023-01-11T00:00:00
SE,Sörmland,71527,23909.6896972656,737,451,2023-01-11T00:00:00
SE,Värmland,72639,25681.6237792969,479,209,2023-01-11T00:00:00
SE,Gävleborg,75826,26376.3276367188,809,357,2023-01-11T00:00:00
SE,Dalarna,79183,27521.2138671875,613,272,2023-01-11T00:00:00
SE,Västmanland,80890,29211.3842773438,597,167,2023-01-11T00:00:00
SE,Jönköping,92158,25266.9775390625,814,433,2023-01-11T00:00:00
SE,Uppsala,97356,25123.849609375,791,484,2023-01-11T00:00:00
SE,Östergötland,101492,21736.455078125,969,464,2023-01-11T00:00:00
SE,Örebro,103886,34001.6030273438,596,287,2023-01-11T00:00:00
SE,Halland,112511,33444.5256347656,597,240,2023-01-11T00:00:00
SE,Skåne,356319,25689.0708007813,2829,848,2023-01-11T00:00:00
SE,Västra Götaland,454551,26228.7602539063,3667,1733,2023-01-11T00:00:00
SE,Stockholm,618037,25869.4267578125,6007,2738,2023-01-11T00:00:00
