country,nuts_3,cases,cases/100k pop.,deaths,intensive_care,datetime
SE,Gotland,109,182.62239074707,6,5,2020-06-15T00:00:00
SE,Blekinge,379,237.459747314453,8,4,2020-06-15T00:00:00
SE,Kalmar,479,195.154937744141,41,28,2020-06-15T00:00:00
SE,Västerbotten,575,211.602432250977,30,31,2020-06-15T00:00:00
SE,Norrbotten,685,273.898101806641,56,43,2020-06-15T00:00:00
SE,Värmland,757,268.046203613281,53,28,2020-06-15T00:00:00
SE,Jämtland Härjedalen,884,675.789306640625,39,16,2020-06-15T00:00:00
SE,Kronoberg,1004,498.339691162109,85,18,2020-06-15T00:00:00
SE,Västernorrland,1035,421.851501464844,98,44,2020-06-15T00:00:00
SE,Halland,1066,319.306976318359,60,33,2020-06-15T00:00:00
SE,Dalarna,1395,484.432189941406,151,62,2020-06-15T00:00:00
SE,Västmanland,1750,634.414245605469,152,50,2020-06-15T00:00:00
SE,Sörmland,1780,598.238891601563,233,128,2020-06-15T00:00:00
SE,Gävleborg,1794,624.256225585938,118,63,2020-06-15T00:00:00
SE,Örebro,2107,691.261596679688,150,77,2020-06-15T00:00:00
SE,Skåne,2300,166.92951965332,218,105,2020-06-15T00:00:00
SE,Jönköping,2394,658.417663574219,153,81,2020-06-15T00:00:00
SE,Uppsala,2483,647.098205566406,195,143,2020-06-15T00:00:00
SE,Östergötland,2557,549.307739257813,209,104,2020-06-15T00:00:00
SE,Västra Götaland,10743,622.464721679688,649,379,2020-06-15T00:00:00
SE,Stockholm,16107,677.595764160156,2187,855,2020-06-15T00:00:00
