country,nuts_3,cases,cases/100k pop.,percent,datetime
SE,Gotland,5,8.0,0.0,2020-03-26T14:00:00
SE,Blekinge,15,9.0,1.0,2020-03-26T14:00:00
SE,Kalmar,19,8.0,1.0,2020-03-26T14:00:00
SE,Kronoberg,20,10.0,1.0,2020-03-26T14:00:00
SE,Västernorrland,21,9.0,1.0,2020-03-26T14:00:00
SE,Västmanland,31,11.0,1.0,2020-03-26T14:00:00
SE,Norrbotten,35,14.0,1.0,2020-03-26T14:00:00
SE,Västerbotten,37,14.0,1.0,2020-03-26T14:00:00
SE,Gävleborg,39,14.0,1.0,2020-03-26T14:00:00
SE,Värmland,45,16.0,2.0,2020-03-26T14:00:00
SE,Dalarna,52,18.0,2.0,2020-03-26T14:00:00
SE,Jämtland Härjedalen,60,46.0,2.0,2020-03-26T14:00:00
SE,Örebro,66,22.0,2.0,2020-03-26T14:00:00
SE,Halland,70,21.0,2.0,2020-03-26T14:00:00
SE,Jönköping,70,19.0,2.0,2020-03-26T14:00:00
SE,Södermanland,114,38.0,4.0,2020-03-26T14:00:00
SE,Uppsala,117,30.0,4.0,2020-03-26T14:00:00
SE,Östergötland,221,47.0,8.0,2020-03-26T14:00:00
SE,Skåne,256,19.0,9.0,2020-03-26T14:00:00
SE,Västra Götaland,297,17.0,11.0,2020-03-26T14:00:00
SE,Stockholm,1216,51.0,43.0,2020-03-26T14:00:00
