country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,10771,10515,218,391679,43,7,2021-02-01T09:30:00
AT,Vorarlberg,21890,21773,253,538320,51,9,2021-02-01T09:30:00
AT,Kärnten,25941,24434,629,455645,93,9,2021-02-01T09:30:00
AT,Salzburg,34605,32102,432,517757,107,19,2021-02-01T09:30:00
AT,Tirol,44582,43331,540,965580,129,31,2021-02-01T09:30:00
AT,Steiermark,49191,45426,1595,1003509,243,36,2021-02-01T09:30:00
AT,Niederösterreich,63185,60352,1182,2175497,384,54,2021-02-01T09:30:00
AT,Oberösterreich,80286,77390,1456,1377713,198,34,2021-02-01T09:30:00
AT,Wien,81645,78424,1473,2056132,453,87,2021-02-01T09:30:00
AT,,412096,393747,7778,9481832,1701,286,2021-02-01T09:30:00
