country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,15364,13915,274,927611,96,25,2021-03-28T09:30:00
AT,Vorarlberg,24421,24131,280,1218096,25,1,2021-03-28T09:30:00
AT,Kärnten,33415,31130,740,934873,84,17,2021-03-28T09:30:00
AT,Salzburg,43607,39525,534,1331590,117,23,2021-03-28T09:30:00
AT,Tirol,52862,50023,592,2229212,145,29,2021-03-28T09:30:00
AT,Steiermark,64772,58661,1850,2755439,312,54,2021-03-28T09:30:00
AT,Niederösterreich,89289,81680,1520,5086477,435,110,2021-03-28T09:30:00
AT,Oberösterreich,97708,91705,1585,3276807,287,69,2021-03-28T09:30:00
AT,Wien,112149,100849,1881,4695367,650,191,2021-03-28T09:30:00
AT,,533587,491619,9256,22455472,2151,519,2021-03-28T09:30:00
