country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,134082,129796,572,5431870,79,12,2022-07-29T09:30:00+02:00
AT,Vorarlberg,223848,222010,559,7139587,49,4,2022-07-29T09:30:00+02:00
AT,Kärnten,267440,261292,1648,6687719,113,3,2022-07-29T09:30:00+02:00
AT,Salzburg,321256,316233,1161,10750134,70,2,2022-07-29T09:30:00+02:00
AT,Tirol,387059,380912,950,9687608,118,5,2022-07-29T09:30:00+02:00
AT,Steiermark,597433,584930,3425,21380122,186,12,2022-07-29T09:30:00+02:00
AT,Oberösterreich,833618,818986,2886,24772810,228,6,2022-07-29T09:30:00+02:00
AT,Niederösterreich,910770,876799,3783,40021893,341,13,2022-07-29T09:30:00+02:00
AT,Wien,1056685,1007313,4096,67455627,470,34,2022-07-29T09:30:00+02:00
AT,Österreich,4732191,4598271,19080,193327370,1654,91,2022-07-29T09:30:00+02:00
